Program:    MAESPA                                                                          
Water balance parameters:Example water balance parameters.                      
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      1     11      390.8155       196.5854         0.0000         0.0000         0.0000         0.0000         0.0000         0.8498         0.0000         0.0030         0.0000         0.0000         1.9987         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -329.6734       830.0387      1111.3503       722.3052         7.3752         9.1161         9.8758         9.8758         0.2173         0.1947         3.3314
      1     12      390.8124       196.5824         0.0000         0.0000         0.0000         0.0000         0.0000         0.9138         0.0000         0.0030         0.0000         0.0000         1.9987         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -353.2521       864.4938      1165.9528       751.0529         7.3752         9.6553        10.6129        10.6129         0.2172         0.1948         3.2858
      1     13      390.8094       196.5794         0.0000         0.0000         0.0000         0.0000         0.0000         0.9371         0.0000         0.0030         0.0000         0.0000         1.9987         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -342.9448       850.4918      1148.9910       740.1898         7.3752        10.1003        11.1931        11.1931         0.2171         0.1949         3.3317
      1     14      390.8064       196.5763         0.0000         0.0000         0.0000         0.0000         0.0000         0.9346         0.0000         0.0030         0.0000         0.0000         1.9987         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -327.7332       811.4905      1104.0254       708.4844         7.3752        10.3990        11.6157        11.6157         0.2170         0.1949         3.4617
      1     15      390.8033       196.5733         0.0000         0.0000         0.0000         0.0000         0.0000         0.8597         0.0000         0.0030         0.0000         0.0000         1.9987         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -242.2551       719.8866       951.8295       635.3262         7.3752        10.4982        11.7530        11.7530         0.2169         0.1950         3.6686
      1     16      390.8003       196.5703         0.0000         0.0000         0.0000         0.0000         0.0000         0.7592         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -143.6684       627.3082       777.4557       561.2112         7.3752        10.5000        11.5940        11.5940         0.2168         0.1951         3.8975
      1     17      390.7973       196.5673         0.0000         0.0000         0.0000         0.0000         0.0000         0.5426         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000        66.0707       508.5925       479.7184       468.3051         7.3752        10.2365        11.3242        11.3242         0.2167         0.1952         3.8173
      1     18      390.7943       196.5642         0.0000         0.0000         0.0000         0.0000         0.0000         0.3131         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       241.5409       426.2272       269.1590       409.0807         7.3752         9.7440        10.8646        10.8646         0.2165         0.1952         3.5843
      1     19      390.7912       196.5612         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       355.4596       365.0396        93.7207       347.8931         7.3752         9.2091        10.3776        10.3776         0.2164         0.1953         0.0000
      1     20      390.7882       196.5582         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       334.5749       344.1430        92.6620       326.9965         7.3752         8.7691         9.9132         9.9132         0.2163         0.1954         0.0000
      1     21      390.7852       196.5551         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       332.4760       342.0455        91.2250       324.8990         7.3752         8.4448         9.5089         9.5089         0.2162         0.1955         0.0000
      1     22      390.7821       196.5521         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       330.9852       340.5409        90.2897       323.3944         7.3752         8.1525         9.1809         9.1809         0.2161         0.1955         0.0000
      1     23      390.7791       196.5491         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       329.3978       338.9617        90.2875       321.8152         7.3752         7.8358         8.9078         8.9078         0.2160         0.1956         0.0000
      1     24      390.7761       196.5461         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       327.9888       337.5533        90.3514       320.4068         7.3752         7.5553         8.6743         8.6743         0.2159         0.1957         0.0000
