Program:    MAESPA                                                                          
Water balance parameters:Example water balance parameters.                      
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      1     11      390.8133       196.5833         0.0000         0.0000         0.0000         0.0000         0.0000         0.7137         0.0000         0.0030         0.0000         0.0000         1.9987         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       -59.7879       830.0387       866.0302       716.8363         7.3762         9.1161         9.8758         9.8758         0.2173         0.1947         2.4398
      1     12      390.8103       196.5802         0.0000         0.0000         0.0000         0.0000         0.0000         0.7649         0.0000         0.0030         0.0000         0.0000         1.9987         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       -63.5841       864.4938       900.9053       745.8361         7.3762         9.6553        10.6129        10.6129         0.2172         0.1948         2.3867
      1     13      390.8073       196.5772         0.0000         0.0000         0.0000         0.0000         0.0000         0.7844         0.0000         0.0030         0.0000         0.0000         1.9987         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       -56.0780       850.4918       885.1011       734.8782         7.3762        10.1003        11.1931        11.1931         0.2171         0.1949         2.4108
      1     14      390.8042       196.5742         0.0000         0.0000         0.0000         0.0000         0.0000         0.7767         0.0000         0.0030         0.0000         0.0000         1.9987         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       -43.9716       811.4905       842.5598       702.9354         7.3762        10.3990        11.6157        11.6157         0.2170         0.1949         2.4753
      1     15      390.8012       196.5712         0.0000         0.0000         0.0000         0.0000         0.0000         0.7093         0.0000         0.0030         0.0000         0.0000         1.9987         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000         5.2305       719.8866       723.4928       630.0387         7.3762        10.4982        11.7530        11.7530         0.2168         0.1950         2.5967
      1     16      390.7982       196.5681         0.0000         0.0000         0.0000         0.0000         0.0000         0.6286         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000        53.5799       627.3082       600.5512       556.6719         7.3762        10.5000        11.5940        11.5940         0.2167         0.1951         2.7852
      1     17      390.7951       196.5651         0.0000         0.0000         0.0000         0.0000         0.0000         0.4559         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       166.3737       508.5925       398.5923       465.6145         7.3762        10.2365        11.3242        11.3242         0.2166         0.1952         2.8870
      1     18      390.7921       196.5621         0.0000         0.0000         0.0000         0.0000         0.0000         0.2494         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       288.9953       426.2272       228.5275       407.9372         7.3762         9.7440        10.8646        10.8646         0.2165         0.1952         2.5923
      1     19      390.7891       196.5590         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       357.9042       365.0396        97.9460       346.7496         7.3762         9.2091        10.3776        10.3776         0.2164         0.1953         0.0000
      1     20      390.7860       196.5560         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       337.0252       344.1430        96.9991       325.8530         7.3762         8.7691         9.9132         9.9132         0.2163         0.1954         0.0000
      1     21      390.7830       196.5530         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       334.9258       342.0455        95.8394       323.7555         7.3762         8.4448         9.5089         9.5089         0.2162         0.1955         0.0000
      1     22      390.7800       196.5499         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       333.4412       340.5409        95.0476       322.2509         7.3762         8.1525         9.1809         9.1809         0.2161         0.1955         0.0000
      1     23      390.7769       196.5469         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       331.8497       338.9617        94.9041       320.6717         7.3762         7.8358         8.9078         8.9078         0.2160         0.1956         0.0000
      1     24      390.7739       196.5439         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       330.4406       337.5533        94.8235       319.2633         7.3762         7.5553         8.6743         8.6743         0.2159         0.1957         0.0000
