Program:    MAESPA                                                                          
Water balance parameters:Example water balance parameters.                      
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      1     11      390.7507       196.5207         0.0000         0.0000         0.0000         0.0000         0.0000         1.7065         0.0000         0.0030         0.0000         0.0000         1.9972         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000     -1315.6115       830.0387      2123.7026       723.3616        14.8356         9.1161         9.8758         9.8758         0.2164         0.1950         6.4022
      1     12      390.7477       196.5177         0.0000         0.0000         0.0000         0.0000         0.0000         1.7959         0.0000         0.0030         0.0000         0.0000         1.9972         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000     -1335.6982       864.4938      2177.2979       751.9131        14.8356         9.6553        10.6129        10.6129         0.2163         0.1951         6.1553
      1     13      390.7447       196.5146         0.0000         0.0000         0.0000         0.0000         0.0000         1.8299         0.0000         0.0030         0.0000         0.0000         1.9972         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000     -1309.8081       850.4918      2150.9153       741.1587        14.8356        10.1003        11.1931        11.1931         0.2162         0.1951         6.2531
      1     14      390.7417       196.5116         0.0000         0.0000         0.0000         0.0000         0.0000         1.8066         0.0000         0.0030         0.0000         0.0000         1.9972         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000     -1247.9009       811.4905      2062.0244       709.6615        14.8356        10.3990        11.6157        11.6157         0.2161         0.1952         6.4784
      1     15      390.7386       196.5086         0.0000         0.0000         0.0000         0.0000         0.0000         1.6405         0.0000         0.0030         0.0000         0.0000         1.9972         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000     -1029.0927       719.8866      1786.9812       636.7296        14.8356        10.4982        11.7530        11.7530         0.2160         0.1953         6.8956
      1     16      390.7356       196.5056         0.0000         0.0000         0.0000         0.0000         0.0000         1.4068         0.0000         0.0030         0.0000         0.0000         1.9971         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -757.6217       627.3082      1437.3634       562.5792        14.8356        10.5000        11.5940        11.5940         0.2158         0.1954         7.2032
      1     17      390.7326       196.5025         0.0000         0.0000         0.0000         0.0000         0.0000         0.9684         0.0000         0.0030         0.0000         0.0000         1.9971         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -276.4448       508.5925       876.0440       469.2805        14.8356        10.2365        11.3242        11.3242         0.2157         0.1954         6.9210
      1     18      390.7296       196.4995         0.0000         0.0000         0.0000         0.0000         0.0000         0.5616         0.0000         0.0030         0.0000         0.0000         1.9971         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000        98.3725       426.2272       505.1195       409.4465        14.8356         9.7440        10.8646        10.8646         0.2156         0.1955         6.4929
      1     19      390.7265       196.4965         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9971         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       353.5307       365.0396       187.9516       347.8808        14.8356         9.2091        10.3776        10.3776         0.2155         0.1956         0.0000
      1     20      390.7235       196.4935         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9971         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       332.6436       344.1430       185.6996       326.9842        14.8356         8.7691         9.9132         9.9132         0.2154         0.1956         0.0000
      1     21      390.7205       196.4904         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9971         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       330.5447       342.0455       182.4429       324.8867        14.8356         8.4448         9.5089         9.5089         0.2153         0.1957         0.0000
      1     22      390.7174       196.4874         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9971         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       329.0505       340.5409       180.3914       323.3821        14.8356         8.1525         9.1809         9.1809         0.2152         0.1958         0.0000
      1     23      390.7144       196.4844         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9971         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       327.4647       338.9617       180.5829       321.8029        14.8356         7.8358         8.9078         8.9078         0.2151         0.1958         0.0000
      1     24      390.7114       196.4813         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9971         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       326.0559       337.5533       180.9172       320.3945        14.8356         7.5553         8.6743         8.6743         0.2150         0.1959         0.0000
