Program:    MAESPA                                                                          
Water balance parameters:Example water balance parameters.                      
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      1     11      390.7873       196.5572         0.0000         0.0000         0.0000         0.0000         0.0000         1.7169         0.0000         0.0030         0.0000         0.0000         1.9978         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000     -1560.9614       830.0387      2346.4341       720.4447        12.0777         9.1161         9.8758         9.8758         0.2169         0.1948         7.2262
      1     12      390.7842       196.5542         0.0000         0.0000         0.0000         0.0000         0.0000         1.8200         0.0000         0.0030         0.0000         0.0000         1.9978         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000     -1615.9468       864.4938      2432.7581       749.1818        12.0777         9.6553        10.6129        10.6129         0.2168         0.1949         7.0400
      1     13      390.7812       196.5512         0.0000         0.0000         0.0000         0.0000         0.0000         1.8469         0.0000         0.0030         0.0000         0.0000         1.9978         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000     -1581.6936       850.4918      2395.0659       738.3492        12.0777        10.1003        11.1931        11.1931         0.2167         0.1949         7.1391
      1     14      390.7782       196.5482         0.0000         0.0000         0.0000         0.0000         0.0000         1.8218         0.0000         0.0030         0.0000         0.0000         1.9978         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000     -1508.2986       811.4905      2292.7505       706.6608        12.0777        10.3990        11.6157        11.6157         0.2166         0.1950         7.3956
      1     15      390.7751       196.5451         0.0000         0.0000         0.0000         0.0000         0.0000         1.6608         0.0000         0.0030         0.0000         0.0000         1.9978         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000     -1266.9950       719.8866      1991.9489       633.7700        12.0777        10.4982        11.7530        11.7530         0.2165         0.1951         7.9352
      1     16      390.7721       196.5421         0.0000         0.0000         0.0000         0.0000         0.0000         1.4632         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000     -1004.7506       627.3082      1653.7360       559.8940        12.0777        10.5000        11.5940        11.5940         0.2164         0.1952         8.6157
      1     17      390.7691       196.5391         0.0000         0.0000         0.0000         0.0000         0.0000         1.0778         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -522.7114       508.5925      1090.1680       467.5218        12.0777        10.2365        11.3242        11.3242         0.2163         0.1952         9.3010
      1     18      390.7661       196.5360         0.0000         0.0000         0.0000         0.0000         0.0000         0.5989         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000        26.1155       426.2272       534.6229       408.7942        12.0777         9.7440        10.8646        10.8646         0.2162         0.1953         8.0840
      1     19      390.7630       196.5330         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       355.4399       365.0396       143.3121       347.4800        12.0777         9.2091        10.3776        10.3776         0.2161         0.1954         0.0000
      1     20      390.7600       196.5300         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       334.5556       344.1430       141.6697       326.5834        12.0777         8.7691         9.9132         9.9132         0.2160         0.1954         0.0000
      1     21      390.7570       196.5270         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       332.4568       342.0455       139.6003       324.4859        12.0777         8.4448         9.5089         9.5089         0.2159         0.1955         0.0000
      1     22      390.7540       196.5239         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       330.9668       340.5409       138.1886       322.9813        12.0777         8.1525         9.1809         9.1809         0.2158         0.1956         0.0000
      1     23      390.7509       196.5209         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       329.3785       338.9617       138.0574       321.4021        12.0777         7.8358         8.9078         8.9078         0.2157         0.1957         0.0000
      1     24      390.7479       196.5179         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       327.9696       337.5533       138.0163       319.9937        12.0777         7.5553         8.6743         8.6743         0.2156         0.1957         0.0000
