Program:    MAESPA                                                                          
Water balance parameters:Example water balance parameters.                      
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      1     12      390.7141       196.4841         0.0000         0.0000         0.0001         0.0000         0.0000         0.4579         0.0000         0.0030         0.0000         0.0000         1.9991         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       330.6202       864.4938       491.7398       748.5732         4.8573         9.6553        10.6129        10.6129         0.2165         0.1945         1.2520
      1     13      390.7111       196.4810         0.0000         0.0000         0.0000         0.0000         0.0000         0.4714         0.0000         0.0030         0.0000         0.0000         1.9991         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       331.4720       850.4918       481.2938       737.5511         4.8573        10.1003        11.1931        11.1931         0.2164         0.1946         1.2570
      1     14      390.7080       196.4780         0.0000         0.0000         0.0000         0.0000         0.0000         0.4386         0.0000         0.0030         0.0000         0.0000         1.9991         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       368.8321       811.4905       412.9934       705.5344         4.8573        10.3990        11.6157        11.6157         0.2163         0.1947         1.1336
      1     15      390.7050       196.4750         0.0000         0.0000         0.0000         0.0000         0.0000         0.4195         0.0000         0.0030         0.0000         0.0000         1.9991         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       329.3552       719.8866       379.9063       632.2255         4.8573        10.4982        11.7530        11.7530         0.2162         0.1947         1.2850
      1     16      390.7020       196.4719         0.0000         0.0000         0.0000         0.0000         0.0000         0.3601         0.0000         0.0030         0.0000         0.0000         1.9991         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       328.4734       627.3082       306.0213       558.4155         4.8573        10.5000        11.5940        11.5940         0.2161         0.1948         1.3156
      1     17      390.6989       196.4689         0.0000         0.0000         0.0000         0.0000         0.0000         0.2686         0.0000         0.0030         0.0000         0.0000         1.9991         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       324.6848       508.5925       218.0383       466.5934         4.8573        10.2365        11.3242        11.3242         0.2160         0.1949         1.4510
      1     18      390.6959       196.4659         0.0000         0.0000         0.0000         0.0000         0.0000         0.1360         0.0000         0.0030         0.0000         0.0000         1.9991         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       354.4422       426.2272       131.3802       408.3252         4.8573         9.7440        10.8646        10.8646         0.2158         0.1950         1.2607
      1     19      390.6929       196.4628         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9991         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       357.9215       365.0396        66.4174       347.1376         4.8573         9.2091        10.3776        10.3776         0.2157         0.1950         0.0000
      1     20      390.6898       196.4598         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9991         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       337.0417       344.1430        65.7753       326.2410         4.8573         8.7691         9.9132         9.9132         0.2156         0.1951         0.0000
      1     21      390.6868       196.4568         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9991         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       334.9424       342.0455        64.9543       324.1435         4.8573         8.4448         9.5089         9.5089         0.2155         0.1952         0.0000
      1     22      390.6838       196.4538         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9991         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       333.4572       340.5409        64.4088       322.6389         4.8573         8.1525         9.1809         9.1809         0.2154         0.1952         0.0000
      1     23      390.6808       196.4507         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9991         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       331.8663       338.9617        64.3402       321.0597         4.8573         7.8358         8.9078         8.9078         0.2153         0.1953         0.0000
      1     24      390.6777       196.4477         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9991         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       330.4569       337.5533        64.3161       319.6513         4.8573         7.5553         8.6743         8.6743         0.2152         0.1954         0.0000
