   1       0.5650   0.4616   0.3491
   2       0.5762   0.4753   0.3651
   3       0.5877   0.4987   0.3874
   4       0.4771   0.4622   0.3434
   5       0.4749   0.5101   0.3686
   6       0.4996   0.5550   0.4022
   7       0.4031   0.4901   0.3625
   8       0.4158   0.5288   0.3876
   9       0.4179   0.5579   0.4065
  10       0.3414   0.5250   0.3816
  11       0.3474   0.5632   0.4234
  12       0.3548   0.6070   0.4621
  13       0.2973   0.5891   0.4276
  14       0.3041   0.6182   0.4674
  15       0.3115   0.6661   0.5121
  16       0.2603   0.7125   0.5529
  17       0.2674   0.7081   0.5621
  18       0.2775   0.7247   0.5806
  19       0.5467   0.4393   0.3282
  20       0.5691   0.4651   0.3409
  21       0.5872   0.4807   0.3514
  22       0.4608   0.4669   0.3470
  23       0.4689   0.4610   0.3287
  24       0.4915   0.4869   0.3417
  25       0.3962   0.4920   0.3664
  26       0.3957   0.5123   0.3770
  27       0.4267   0.5670   0.4150
  28       0.3521   0.5440   0.4001
  29       0.3569   0.5682   0.4290
  30       0.3794   0.5848   0.4429
  31       0.2987   0.5944   0.4401
  32       0.3046   0.6129   0.4713
  33       0.3246   0.6459   0.5071
  34       0.2650   0.7215   0.5469
  35       0.2717   0.7347   0.5603
  36       0.2814   0.7486   0.5694
  37       0.5373   0.4321   0.3195
  38       0.5330   0.4346   0.3250
  39       0.5368   0.4494   0.3395
  40       0.4679   0.4712   0.3552
  41       0.4674   0.4760   0.3644
  42       0.4856   0.4929   0.3854
  43       0.4022   0.5007   0.3795
  44       0.4032   0.4952   0.3928
  45       0.4223   0.5125   0.4156
  46       0.3527   0.5327   0.3925
  47       0.3448   0.5455   0.4214
  48       0.3677   0.5716   0.4531
  49       0.2975   0.6142   0.4519
  50       0.3119   0.6074   0.4431
  51       0.3340   0.6016   0.4370
  52       0.2569   0.7161   0.5427
  53       0.2603   0.7240   0.5472
  54       0.2711   0.7396   0.5631
  55       0.5453   0.4448   0.3292
  56       0.5626   0.4703   0.3450
  57       0.5770   0.4937   0.3650
  58       0.4846   0.4739   0.3525
  59       0.5135   0.5039   0.3723
  60       0.5249   0.5414   0.3981
  61       0.4114   0.5077   0.3807
  62       0.4065   0.5391   0.4087
  63       0.4209   0.5735   0.4501
  64       0.3412   0.5228   0.3793
  65       0.3541   0.5745   0.4287
  66       0.3798   0.6141   0.4672
  67       0.2933   0.6037   0.4471
  68       0.3056   0.6354   0.4958
  69       0.3168   0.6594   0.5140
  70       0.2562   0.7017   0.5431
  71       0.2602   0.7068   0.5503
  72       0.2638   0.7314   0.5779
