   1       0.7106   0.1529   0.0677
   2       0.7433   0.1643   0.0758
   3       0.7796   0.1610   0.0739
   4       0.5459   0.1599   0.0689
   5       0.5851   0.1856   0.0857
   6       0.6418   0.2080   0.0975
   7       0.4350   0.1955   0.0873
   8       0.4566   0.2256   0.1033
   9       0.4796   0.2289   0.1074
  10       0.3507   0.2506   0.1243
  11       0.3895   0.2721   0.1331
  12       0.4286   0.3173   0.1599
  13       0.2870   0.3323   0.1690
  14       0.3107   0.3753   0.1857
  15       0.3248   0.4035   0.1982
  16       0.2559   0.4274   0.2333
  17       0.2672   0.4183   0.2293
  18       0.2823   0.4465   0.2449
  19       0.7136   0.1514   0.0658
  20       0.7462   0.1490   0.0654
  21       0.7826   0.1516   0.0679
  22       0.5516   0.1682   0.0715
  23       0.5890   0.1637   0.0694
  24       0.6357   0.1729   0.0736
  25       0.4371   0.1951   0.0903
  26       0.4901   0.2015   0.0908
  27       0.5501   0.2299   0.1054
  28       0.3416   0.2536   0.1240
  29       0.3761   0.2690   0.1299
  30       0.4093   0.2746   0.1235
  31       0.2914   0.3084   0.1586
  32       0.3264   0.3323   0.1683
  33       0.3693   0.3693   0.1904
  34       0.2553   0.4216   0.2237
  35       0.2624   0.4399   0.2339
  36       0.2751   0.4579   0.2399
  37       0.7164   0.1532   0.0652
  38       0.7526   0.1311   0.0556
  39       0.7884   0.1281   0.0550
  40       0.5519   0.1732   0.0738
  41       0.5887   0.1758   0.0774
  42       0.6403   0.1811   0.0805
  43       0.4208   0.2046   0.0919
  44       0.4456   0.2041   0.0881
  45       0.4590   0.1974   0.0863
  46       0.3427   0.2621   0.1208
  47       0.3821   0.2926   0.1317
  48       0.4194   0.3005   0.1374
  49       0.2906   0.3366   0.1676
  50       0.2876   0.3408   0.1601
  51       0.2950   0.3467   0.1562
  52       0.2565   0.4407   0.2373
  53       0.2642   0.4599   0.2474
  54       0.2724   0.4698   0.2512
  55       0.7193   0.1503   0.0653
  56       0.7533   0.1647   0.0737
  57       0.7895   0.1761   0.0807
  58       0.5456   0.1669   0.0719
  59       0.5892   0.2025   0.0897
  60       0.6478   0.2180   0.0962
  61       0.4343   0.2147   0.0976
  62       0.4971   0.2539   0.1181
  63       0.5677   0.2809   0.1325
  64       0.3546   0.2579   0.1230
  65       0.3947   0.3035   0.1446
  66       0.4466   0.3357   0.1583
  67       0.2963   0.3390   0.1711
  68       0.3393   0.3877   0.1967
  69       0.3871   0.4131   0.2106
  70       0.2564   0.4510   0.2451
  71       0.2686   0.4537   0.2432
  72       0.2844   0.4880   0.2644
