Program:    MAESPA                                                                          
Water balance parameters:Example water balance parameters.                      
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      1     10      390.5780       196.3479         0.0000         0.0251         0.6909         0.0543         0.0543         0.5384         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000        79.1779       753.3649       659.0472       652.8531         6.6521         8.4408         8.8662         8.8662         0.2153         0.1943         2.1322
      1     11      390.5750       196.3449         0.0000         0.0004         0.0247         0.0000         0.0000         0.6126         0.0000         0.0030         0.0000         0.0000         1.9987         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000        70.2547       830.0387       732.8049       715.5343         6.6521         9.1161         9.8758         9.8758         0.2152         0.1944         2.0321
      1     12      390.5719       196.3419         0.0000         0.0000         0.0004         0.0000         0.0000         0.6591         0.0000         0.0030         0.0000         0.0000         1.9987         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000        70.1014       864.4938       763.7829       744.5660         6.6521         9.6553        10.6129        10.6129         0.2151         0.1944         1.9932
      1     13      390.5689       196.3389         0.0000         0.0000         0.0000         0.0000         0.0000         0.6753         0.0000         0.0030         0.0000         0.0000         1.9987         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000        76.7138       850.4918       748.2161       733.6004         6.6521        10.1003        11.1931        11.1931         0.2150         0.1945         2.0062
      1     14      390.5659       196.3358         0.0000         0.0000         0.0000         0.0000         0.0000         0.6651         0.0000         0.0030         0.0000         0.0000         1.9987         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000        85.9531       811.4905       708.2427       701.6335         6.6521        10.3990        11.6157        11.6157         0.2150         0.1946         2.0455
      1     15      390.5628       196.3328         0.0000         0.0000         0.0000         0.0000         0.0000         0.6102         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       111.6784       719.8866       611.6655       628.8525         6.6521        10.4982        11.7530        11.7530         0.2149         0.1946         2.1575
      1     16      390.5598       196.3298         0.0000         0.0000         0.0000         0.0000         0.0000         0.5306         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       151.8874       627.3082       497.3450       555.7126         6.6521        10.5000        11.5940        11.5940         0.2148         0.1947         2.2513
      1     17      390.5568       196.3267         0.0000         0.0000         0.0000         0.0000         0.0000         0.3800         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       231.1493       508.5925       328.4420       465.0695         6.6521        10.2365        11.3242        11.3242         0.2147         0.1948         2.2943
      1     18      390.5537       196.3237         0.0000         0.0000         0.0000         0.0000         0.0000         0.2103         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       311.6696       426.2272       196.5090       407.6874         6.6521         9.7440        10.8646        10.8646         0.2146         0.1948         2.1301
      1     19      390.5507       196.3207         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       358.3306       365.0396        88.1800       346.4998         6.6521         9.2091        10.3776        10.3776         0.2145         0.1949         0.0000
      1     20      390.5477       196.3176         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       337.4528       344.1430        87.3561       325.6032         6.6521         8.7691         9.9132         9.9132         0.2144         0.1950         0.0000
      1     21      390.5446       196.3146         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       335.3534       342.0455        86.3899       323.5057         6.6521         8.4448         9.5089         9.5089         0.2143         0.1950         0.0000
      1     22      390.5416       196.3116         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       333.8698       340.5409        85.7148       322.0011         6.6521         8.1525         9.1809         9.1809         0.2142         0.1951         0.0000
      1     23      390.5386       196.3086         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       332.2775       338.9617        85.5463       320.4219         6.6521         7.8358         8.9078         8.9078         0.2141         0.1951         0.0000
      1     24      390.5356       196.3055         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       330.8684       337.5533        85.4324       319.0135         6.6521         7.5553         8.6743         8.6743         0.2140         0.1952         0.0000
