Program:    MAESPA                                                                          
Water balance parameters:Example water balance parameters.                      
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      1     11      390.4917       196.2617         0.0000         0.0001         0.0099         0.0000         0.0000         0.6981         0.0000         0.0030         0.0000         0.0000         1.9990         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -359.6287       830.0387      1103.0825       725.2703         4.8561         9.1161         9.8758         9.8758         0.2144         0.1944         3.4908
      1     12      390.4887       196.2587         0.0000         0.0000         0.0001         0.0000         0.0000         0.7436         0.0000         0.0030         0.0000         0.0000         1.9990         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -371.7213       864.4938      1144.7714       753.8932         4.8561         9.6553        10.6129        10.6129         0.2143         0.1944         3.4038
      1     13      390.4857       196.2557         0.0000         0.0000         0.0000         0.0000         0.0000         0.7632         0.0000         0.0030         0.0000         0.0000         1.9990         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -362.4474       850.4918      1127.9476       743.0687         4.8561        10.1003        11.1931        11.1931         0.2142         0.1945         3.4554
      1     14      390.4826       196.2526         0.0000         0.0000         0.0000         0.0000         0.0000         0.7600         0.0000         0.0030         0.0000         0.0000         1.9990         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -338.6497       811.4905      1073.7180       711.4908         4.8561        10.3990        11.6157        11.6157         0.2141         0.1945         3.5614
      1     15      390.4796       196.2496         0.0000         0.0000         0.0000         0.0000         0.0000         0.7096         0.0000         0.0030         0.0000         0.0000         1.9990         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -262.4061       719.8866       930.4352       638.2384         4.8561        10.4982        11.7530        11.7530         0.2140         0.1946         3.8177
      1     16      390.4766       196.2466         0.0000         0.0000         0.0000         0.0000         0.0000         0.6448         0.0000         0.0030         0.0000         0.0000         1.9990         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -177.3817       627.3082       770.1248       563.8073         4.8561        10.5000        11.5940        11.5940         0.2140         0.1947         4.1461
      1     17      390.4736       196.2435         0.0000         0.0000         0.0000         0.0000         0.0000         0.5185         0.0000         0.0030         0.0000         0.0000         1.9990         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       -27.1475       508.5925       531.1938       469.9904         4.8561        10.2365        11.3242        11.3242         0.2139         0.1947         4.7511
      1     18      390.4706       196.2405         0.0000         0.0000         0.0000         0.0000         0.0000         0.2990         0.0000         0.0030         0.0000         0.0000         1.9990         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       220.8312       426.2272       247.2756       409.6797         4.8561         9.7440        10.8646        10.8646         0.2138         0.1948         4.0714
      1     19      390.4675       196.2375         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9990         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       354.3177       365.0396        52.3444       348.4922         4.8561         9.2091        10.3776        10.3776         0.2137         0.1949         0.0000
      1     20      390.4645       196.2345         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9990         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       333.4301       344.1430        51.6684       327.5956         4.8561         8.7691         9.9132         9.9132         0.2136         0.1949         0.0000
      1     21      390.4615       196.2314         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9990         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       331.3317       342.0455        50.8179       325.4981         4.8561         8.4448         9.5089         9.5089         0.2135         0.1950         0.0000
      1     22      390.4584       196.2284         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9990         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       329.8372       340.5409        50.2315       323.9934         4.8561         8.1525         9.1809         9.1809         0.2134         0.1950         0.0000
      1     23      390.4554       196.2254         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9990         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       328.2519       338.9617        50.1940       322.4142         4.8561         7.8358         8.9078         8.9078         0.2133         0.1951         0.0000
      1     24      390.4524       196.2223         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9990         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       326.8430       337.5533        50.1879       321.0059         4.8561         7.5553         8.6743         8.6743         0.2132         0.1951         0.0000
