Program:    MAESPA                                                                          
Water balance parameters:Example water balance parameters.                      
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      1     12      388.4237       194.1937         0.0000         0.0000         0.0000         0.0000         0.0000         0.5394         0.0000         0.0030         0.0000         0.0000         1.9968         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       156.4592       864.4938       653.7943       749.6513         4.8573         9.6553        10.6129        10.6129         0.1939         0.1942         1.7844
      1     13      388.4207       194.1906         0.0000         0.0000         0.0000         0.0000         0.0000         0.5563         0.0000         0.0030         0.0000         0.0000         1.9968         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       158.0140       850.4918       643.0136       738.6506         4.8573        10.1003        11.1931        11.1931         0.1938         0.1942         1.8051
      1     14      388.4176       194.1876         0.0000         0.0000         0.0000         0.0000         0.0000         0.5557         0.0000         0.0030         0.0000         0.0000         1.9968         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       156.1269       811.4905       613.9554       706.6866         4.8573        10.3990        11.6157        11.6157         0.1938         0.1942         1.8617
      1     15      388.4146       194.1846         0.0000         0.0000         0.0000         0.0000         0.0000         0.5175         0.0000         0.0030         0.0000         0.0000         1.9968         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       166.4413       719.8866       532.2645       633.3225         4.8573        10.4982        11.7530        11.7530         0.1938         0.1942         1.9801
      1     16      388.4116       194.1815         0.0000         0.0000         0.0000         0.0000         0.0000         0.4685         0.0000         0.0030         0.0000         0.0000         1.9967         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       177.5099       627.3082       446.3744       559.3409         4.8573        10.5000        11.5940        11.5940         0.1938         0.1942         2.1590
      1     17      388.4086       194.1785         0.0000         0.0000         0.0000         0.0000         0.0000         0.3503         0.0000         0.0030         0.0000         0.0000         1.9967         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       236.6857       508.5925       296.2390       467.1526         4.8573        10.2365        11.3242        11.3242         0.1937         0.1942         2.2777
      1     18      388.4055       194.1755         0.0000         0.0000         0.0000         0.0000         0.0000         0.1900         0.0000         0.0030         0.0000         0.0000         1.9967         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       318.9072       426.2272       162.1051       408.5644         4.8573         9.7440        10.8646        10.8646         0.1937         0.1942         2.0116
      1     19      388.4025       194.1725         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9967         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       357.4106       365.0396        62.1033       347.3768         4.8573         9.2091        10.3776        10.3776         0.1937         0.1942         0.0000
      1     20      388.3995       194.1694         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9967         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       336.5295       344.1430        61.4696       326.4802         4.8573         8.7691         9.9132         9.9132         0.1936         0.1942         0.0000
      1     21      388.3965       194.1664         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9967         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       334.4303       342.0455        60.6894       324.3827         4.8573         8.4448         9.5089         9.5089         0.1936         0.1942         0.0000
      1     22      388.3934       194.1634         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9967         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       332.9436       340.5409        60.1558       322.8781         4.8573         8.1525         9.1809         9.1809         0.1936         0.1942         0.0000
      1     23      388.3904       194.1603         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9967         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       331.3535       338.9617        60.0722       321.2989         4.8573         7.8358         8.9078         8.9078         0.1935         0.1942         0.0000
      1     24      390.6160       196.3859         3.2107         0.9386         0.0434         0.3022         2.2286         0.0000         0.0000         0.0030         0.0000         0.0000         1.9967         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       329.9445       337.5533        60.0278       319.8905         4.8573         7.5553         8.6743         8.6743         0.2158         0.1942         0.0000
