Program:    MAESPA                                                                          
Water balance parameters:Example water balance parameters. WD1                  
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      1     11       93.4183        49.8908         0.0000         0.0000         0.0000         0.0000         0.0000         0.0022         0.0000         0.0000         0.0000         0.0000         0.0017         0.0100        -0.0000         0.3040         0.0044         0.0000         0.0000         0.0000         0.0000       454.8777       830.0387       375.9722       713.5000         6.6521         9.1161         9.8758         9.8758         0.0616         0.0490         0.7928
      1     12       94.7579        51.2304         2.1312         0.5388         0.2528         0.0608         1.3396         0.0022         0.0000         0.0000         0.0000         0.0000         0.0017         0.0100        -0.0000         0.3040         0.0039         0.0000         0.0000         0.0000         0.0000       455.8357       864.4938       406.6805       742.5638         6.6521         9.6553        10.6129        10.6129         0.0750         0.0490         0.8238
      1     13       96.3497        52.8222         2.1312         0.7323         0.3460         0.3131         1.5918         0.0203         0.0000         0.0000         0.0000         0.0000         0.0159         0.0100        -0.0000         0.3040         0.0367         0.0000         0.0000         0.0000         0.0000       454.6761       850.4918       398.2198       731.5996         6.6521        10.1003        11.1931        11.1931         0.0909         0.0490         0.8221
      1     14       99.9458        56.4183         4.2625         1.0514         0.3473         1.0386         3.5961         0.1583         0.0000         0.0000         0.0000         0.0000         0.1370         0.0100        -0.0000         0.3040         0.3047         0.0000         0.0000         0.0000         0.0000       425.5438       811.4905       396.8400       699.6166         6.6521        10.3990        11.6157        11.6157         0.1269         0.0490         0.8944
      1     15      100.1012        56.5737         0.0000         0.0344         0.8617         0.1554         0.1554         0.3595         0.0000         0.0000         0.0000         0.0000         1.5471         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       433.6678       719.8866       315.3236       627.0735         6.6521        10.4982        11.7530        11.7530         0.1285         0.0490         0.7969
      1     16      100.1012        56.5737         0.0000         0.0011         0.0333         0.0000         0.0000         0.2968         0.0000         0.0000         0.0000         0.0000         1.5943         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       413.1655       627.3082       261.6982       554.3181         6.6521        10.5000        11.5940        11.5940         0.1285         0.0490         0.8059
      1     17      100.1012        56.5737         0.0000         0.0001         0.0010         0.0000         0.0000         0.1785         0.0000         0.0000         0.0000         0.0000         1.5943         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       405.0332       508.5925       178.1278       464.2885         6.6521        10.2365        11.3242        11.3242         0.1285         0.0490         0.6717
      1     18      101.4742        57.9467         2.1312         0.6626         0.0957         0.0943         1.3731         0.1029         0.0000         0.0000         0.0000         0.0000         1.5943         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       374.4235       426.2272       145.7479       407.3179         6.6521         9.7440        10.8646        10.8646         0.1422         0.0490         0.8139
      1     19      101.5179        57.9904         0.0000         0.0666         0.5523         0.0437         0.0437         0.0000         0.0000         0.0000         0.0000         0.0000         1.5943         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       358.8659       365.0396        99.7056       346.1303         6.6521         9.2091        10.3776        10.3776         0.1426         0.0490         0.0000
      1     20      102.9348        59.4073         2.1312         0.7105         0.0703         0.1382         1.4169         0.0000         0.0000         0.0000         0.0000         0.0000         1.5943         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       337.9894       344.1430        98.8392       325.2337         6.6521         8.7691         9.9132         9.9132         0.1568         0.0490         0.0000
      1     21      104.8069        61.2794         2.1312         0.8863         0.0835         0.5933         1.8721         0.0000         0.0000         0.0000         0.0000         0.0000         1.5943         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       335.8897       342.0455        97.7112       323.1362         6.6521         8.4448         9.5089         9.5089         0.1755         0.0490         0.0000
      1     22      104.9357        61.4082         0.0000         0.1040         0.6535         0.1288         0.1288         0.0000         0.0000         0.0000         0.0000         0.0000         1.5943         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       334.4078       340.5409        96.9784       321.6316         6.6521         8.1525         9.1809         9.1809         0.1768         0.0490         0.0000
      1     23      104.9357        61.4082         0.0000         0.0116         0.0924         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         1.5943         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       332.8148       338.9617        96.8760       320.0524         6.6521         7.8358         8.9078         8.9078         0.1768         0.0490         0.0000
      1     24      104.9357        61.4082         0.0000         0.0014         0.0102         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         1.5943         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       331.4055       337.5533        96.8439       318.6440         6.6521         7.5553         8.6743         8.6743         0.1768         0.0491         0.0000
