H,V,L,F,fla,Tree,name,absPAR,absNIR,absTherm,totPs,netPs,totRf,totLE1,totLE2,totH
15,0,1.488,1.35,0.1,313,H15_V0_L1.488_F1.35_fla0.1,0.5561,0.1295,0.0627,0.0461,0.0435,0.0026,5.4592,0.1156,0.459
15,0,1.488,1.5,0.1,313,H15_V0_L1.488_F1.5_fla0.1,0.5553,0.1298,0.0621,0.0461,0.0435,0.0026,5.4831,0.1156,0.4572
15,0,1.488,1.6,0.1,313,H15_V0_L1.488_F1.6_fla0.1,0.5552,0.1299,0.062,0.0461,0.0435,0.0026,5.4924,0.1156,0.4567
15,0,1.488,1.75,0.1,313,H15_V0_L1.488_F1.75_fla0.1,0.5548,0.13,0.0617,0.0461,0.0435,0.0026,5.499,0.1156,0.456
15,0,1.488,1.85,0.1,313,H15_V0_L1.488_F1.85_fla0.1,0.5548,0.13,0.0617,0.0461,0.0435,0.0026,5.4986,0.1156,0.4561
15,0,1.488,1.99,0.1,313,H15_V0_L1.488_F1.99_fla0.1,0.5546,0.1301,0.0615,0.0461,0.0435,0.0026,5.5022,0.1156,0.4557
15,0,2.916,0.01,0.1,613,H15_V0_L2.916_F0.01_fla0.1,0.1674,0.0533,0.1128,0.0286,0.026,0.0026,2.6758,0.1421,0.1517
15,0,2.916,0.15,0.1,613,H15_V0_L2.916_F0.15_fla0.1,0.168,0.0535,0.1126,0.0287,0.026,0.0026,2.6846,0.1425,0.1519
15,0,2.916,0.25,0.1,613,H15_V0_L2.916_F0.25_fla0.1,0.1701,0.0537,0.112,0.0289,0.0263,0.0026,2.7019,0.1436,0.15310000000000001
15,0,2.916,0.4,0.1,613,H15_V0_L2.916_F0.4_fla0.1,0.174,0.0544,0.1105,0.0292,0.0266,0.0026,2.7304,0.1454,0.1553
15,0,2.916,0.5,0.1,613,H15_V0_L2.916_F0.5_fla0.1,0.1757,0.0554,0.107,0.0294,0.0268,0.0026,2.7477,0.146,0.1553
15,0,2.916,0.65,0.1,613,H15_V0_L2.916_F0.65_fla0.1,0.1985,0.0592,0.105,0.0311,0.0285,0.0026,2.941,0.1545,0.1716
15,0,2.916,0.75,0.1,613,H15_V0_L2.916_F0.75_fla0.1,0.2311,0.0651,0.0999,0.0333,0.0307,0.0026,3.1792,0.1651,0.1958
15,0,2.916,0.85,0.1,613,H15_V0_L2.916_F0.85_fla0.1,0.2823,0.0755,0.0935,0.0363,0.0337,0.0026,3.4955,0.1796,0.239
15,0,2.916,0.95,0.1,613,H15_V0_L2.916_F0.95_fla0.1,0.3574,0.0902,0.0822,0.0398,0.0372,0.0026,3.8725,0.1963,0.3047
15,0,2.916,1,0.1,613,H15_V0_L2.916_F1_fla0.1,0.3991,0.0989,0.0808,0.0414,0.0388,0.0026,4.061,0.2041,0.3458
15,0,2.916,1.05,0.1,613,H15_V0_L2.916_F1.05_fla0.1,0.4452,0.1083,0.0763,0.043,0.0404,0.0026,4.2357,0.2117,0.3906
15,0,2.916,1.15,0.1,613,H15_V0_L2.916_F1.15_fla0.1,0.512,0.1223,0.07,0.045,0.0424,0.0026,4.422,0.2215,0.4592
15,0,2.916,1.25,0.1,613,H15_V0_L2.916_F1.25_fla0.1,0.5471,0.1303,0.0671,0.0459,0.0433,0.0026,4.4992,0.2258,0.4972
15,0,2.916,1.35,0.1,613,H15_V0_L2.916_F1.35_fla0.1,0.5537,0.1324,0.0662,0.0461,0.0435,0.0026,4.5404,0.2265,0.5037
15,0,2.916,1.5,0.1,613,H15_V0_L2.916_F1.5_fla0.1,0.5531,0.1327,0.0655,0.0461,0.0434,0.0026,4.5736,0.2264,0.5017
15,0,2.916,1.6,0.1,613,H15_V0_L2.916_F1.6_fla0.1,0.5528,0.1329,0.0651,0.0461,0.0434,0.0026,4.5898,0.2264,0.5007
15,0,2.916,1.75,0.1,613,H15_V0_L2.916_F1.75_fla0.1,0.5526,0.133,0.0649,0.0461,0.0434,0.0026,4.6011,0.2264,0.5
15,0,2.916,1.85,0.1,613,H15_V0_L2.916_F1.85_fla0.1,0.5525,0.1331,0.0647,0.0461,0.0434,0.0026,4.6086,0.2264,0.4996
15,0,2.916,1.99,0.1,613,H15_V0_L2.916_F1.99_fla0.1,0.5525,0.1331,0.0647,0.0461,0.0434,0.0026,4.6083,0.2264,0.4996
15,0,4.402,0.01,0.1,925,H15_V0_L4.402_F0.01_fla0.1,0.1344,0.0468,0.1194,0.0253,0.0227,0.0026,2.5544,0.1544,0.1221
15,0,4.402,0.15,0.1,925,H15_V0_L4.402_F0.15_fla0.1,0.1361,0.047,0.1196,0.0255,0.0229,0.0026,2.5647,0.1556,0.1237
15,0,4.402,0.25,0.1,925,H15_V0_L4.402_F0.25_fla0.1,0.1354,0.0469,0.1191,0.0254,0.0228,0.0026,2.5472,0.1551,0.1233
