H,V,L,F,fla,Tree,name,absPAR,absNIR,absTherm,totPs,netPs,totRf,totLE1,totLE2,totH
15,0.1,2.916,0.01,0.1,613,H15_V0.1_L2.916_F0.01_fla0.1,0.1787,0.0564,0.108,0.029666666666666668,0.027033333333333333,0.0026,2.7491,0.14726666666666666,0.15993333333333334
15,0.1,2.916,0.01,0.5,613,H15_V0.1_L2.916_F0.01_fla0.5,0.8899333333333334,0.2812,0.5405333333333333,0.14796666666666666,0.13486666666666666,0.0131,13.727333333333332,0.7346666666666667,0.7966
15,0.1,2.916,0.01,1,613,H15_V0.1_L2.916_F0.01_fla1,1.7688333333333333,0.5625333333333333,1.0772666666666666,0.2949333333333333,0.2687333333333333,0.0262,27.395966666666666,1.4642333333333333,1.5833666666666666
15,0.1,2.916,0.01,10,613,H15_V0.1_L2.916_F0.01_fla10,16.171033333333334,5.317466666666666,11.1965,2.8095666666666665,2.5473666666666666,0.2622,265.99580000000003,13.9037,14.648266666666666
15,0.1,2.916,0.01,50,613,H15_V0.1_L2.916_F0.01_fla50,56.130433333333336,22.3489,58.363299999999995,11.179633333333333,9.8686,1.311,1157.0713666666666,54.78686666666667,54.183233333333334
15,0.1,2.916,0.15,0.1,613,H15_V0.1_L2.916_F0.15_fla0.1,0.17986666666666667,0.056100000000000004,0.1099,0.0298,0.027166666666666665,0.0026,2.7617,0.14796666666666666,0.1613
15,0.1,2.916,0.15,0.5,613,H15_V0.1_L2.916_F0.15_fla0.5,0.8953666666666666,0.28013333333333335,0.5490666666666667,0.14863333333333334,0.1355,0.0131,13.788166666666667,0.7380666666666666,0.8029
15,0.1,2.916,0.15,1,613,H15_V0.1_L2.916_F0.15_fla1,1.7809666666666666,0.5591666666666667,1.0973666666666666,0.2964,0.27016666666666667,0.0262,27.522933333333334,1.4715666666666667,1.5972666666666666
15,0.1,2.916,0.15,10,613,H15_V0.1_L2.916_F0.15_fla10,16.217033333333333,5.352866666666666,11.139733333333334,2.8166333333333333,2.5544333333333333,0.2622,266.45506666666665,13.940233333333333,14.683966666666667
15,0.1,2.916,0.15,50,613,H15_V0.1_L2.916_F0.15_fla50,56.3459,22.385733333333334,58.3679,11.2148,9.903733333333333,1.311,1159.4263666666666,54.95986666666667,54.330666666666666
15,0.1,2.916,0.25,0.1,613,H15_V0.1_L2.916_F0.25_fla0.1,0.18173333333333333,0.0564,0.10846666666666667,0.029933333333333333,0.027333333333333334,0.0026,2.7746333333333335,0.14873333333333333,0.1619
15,0.1,2.916,0.25,0.5,613,H15_V0.1_L2.916_F0.25_fla0.5,0.9069666666666667,0.27996666666666664,0.5543333333333333,0.14966666666666667,0.13656666666666667,0.0131,13.885299999999999,0.7430333333333333,0.8123333333333334
15,0.1,2.916,0.25,1,613,H15_V0.1_L2.916_F0.25_fla1,1.8052,0.5581666666666667,1.1090666666666666,0.29860000000000003,0.27236666666666665,0.0262,27.7236,1.4821,1.6165333333333334
15,0.1,2.916,0.25,10,613,H15_V0.1_L2.916_F0.25_fla10,16.39046666666667,5.3681,11.054466666666666,2.8337666666666665,2.5715666666666666,0.2622,267.77913333333333,14.021033333333333,14.749333333333333
15,0.1,2.916,0.25,50,613,H15_V0.1_L2.916_F0.25_fla50,56.865766666666666,22.51803333333333,57.9153,11.2794,9.968366666666666,1.311,1164.4202666666665,55.2513,54.463033333333335
15,0.1,2.916,0.4,0.1,613,H15_V0.1_L2.916_F0.4_fla0.1,0.1835,0.05653333333333334,0.10886666666666667,0.03013333333333333,0.0275,0.0026,2.788333333333333,0.14956666666666668,0.16336666666666666
15,0.1,2.916,0.4,0.5,613,H15_V0.1_L2.916_F0.4_fla0.5,0.9146333333333333,0.28123333333333334,0.5495333333333333,0.1504,0.1373,0.0131,13.933866666666667,0.7465666666666667,0.8158666666666666
15,0.1,2.916,0.4,1,613,H15_V0.1_L2.916_F0.4_fla1,1.8202666666666667,0.5607,1.1004666666666667,0.3000333333333333,0.2738,0.0262,27.822499999999998,1.489,1.6238000000000001
15,0.1,2.916,0.4,10,613,H15_V0.1_L2.916_F0.4_fla10,16.533533333333335,5.3991999999999996,10.983966666666667,2.8490333333333333,2.5868333333333333,0.2622,268.96473333333336,14.0937,14.823566666666666
15,0.1,2.916,0.4,50,613,H15_V0.1_L2.916_F0.4_fla50,57.4934,22.6506,57.611900000000006,11.365466666666666,10.054433333333334,1.311,1172.0149666666666,55.646766666666664,54.6725
15,0.1,2.916,0.5,0.1,613,H15_V0.1_L2.916_F0.5_fla0.1,0.1874,0.05736666666666667,0.10723333333333333,0.030433333333333333,0.02783333333333333,0.0026,2.8331333333333335,0.15116666666666667,0.165
15,0.1,2.916,0.5,0.5,613,H15_V0.1_L2.916_F0.5_fla0.5,0.9333666666666667,0.2861,0.5359666666666667,0.15196666666666667,0.13883333333333334,0.0131,14.1463,0.7543666666666666,0.8215
15,0.1,2.916,0.5,1,613,H15_V0.1_L2.916_F0.5_fla1,1.8575,0.5706333333333333,1.0724,0.30316666666666664,0.2769,0.0262,28.245233333333335,1.5045333333333333,1.6348333333333334
15,0.1,2.916,0.5,10,613,H15_V0.1_L2.916_F0.5_fla10,16.9351,5.460666666666667,10.933766666666667,2.8846333333333334,2.6224333333333334,0.2622,273.53083333333336,14.270133333333334,15.039933333333334
15,0.1,2.916,0.5,50,613,H15_V0.1_L2.916_F0.5_fla50,59.19376666666667,23.1154,56.757733333333334,11.548833333333333,10.2378,1.311,1191.9888333333333,56.525,55.39946666666667
