"","H","V","L","F","fla","Tree","name","absPAR","absNIR","absTherm","totPs","netPs","totRf","totLE1","totLE2","totH"
"135",15,0.1,2.916,0.15,27,666,"H15_V0.1_L2.916_F0.15_fla27",47.9623,15.5789333333333,29.3663666666667,8.0124,7.3045,0.708,439.857566666667,41.5819333333333,57.0711
"136",15,0.1,2.916,0.25,27,666,"H15_V0.1_L2.916_F0.25_fla27",48.0073666666667,15.6324666666667,29.1476333333333,8.0125,7.30456666666667,0.708,440.425466666667,41.5898333333333,57.0181
"137",15,0.1,2.916,0.4,27,666,"H15_V0.1_L2.916_F0.4_fla27",48.8168,15.7050666666667,29.9115,8.07563333333333,7.36763333333333,0.708,447.0857,41.9406666666667,58.0655333333333
"138",15,0.1,2.916,0.5,27,666,"H15_V0.1_L2.916_F0.5_fla27",50.1940666666667,15.9837666666667,29.6178666666667,8.17866666666667,7.47066666666667,0.708,455.589433333333,42.4689,59.1411333333333
"139",15,0.1,2.916,0.65,27,666,"H15_V0.1_L2.916_F0.65_fla27",55.0006333333333,17.031,27.2471666666667,8.5242,7.81626666666667,0.708,480.9688,44.2253,62.3251333333333
"140",15,0.1,2.916,0.75,27,666,"H15_V0.1_L2.916_F0.75_fla27",60.6626333333333,18.1387333333333,27.4745333333333,8.90973333333333,8.20176666666667,0.708,508.257166666667,46.2602666666667,67.9964666666667
"141",15,0.1,2.916,0.85,27,666,"H15_V0.1_L2.916_F0.85_fla27",69.2215666666667,19.8709666666667,27.0244,9.44696666666667,8.739,0.708,542.193466666667,49.1247333333333,76.4650333333333
"142",15,0.1,2.916,0.95,27,666,"H15_V0.1_L2.916_F0.95_fla27",79.9656333333333,22.0771,25.3728666666667,10.0487333333333,9.34076666666667,0.708,575.0251,52.3663,86.8751333333333
"143",15,0.1,2.916,1,27,666,"H15_V0.1_L2.916_F1_fla27",86.0765,23.3730333333333,25.1916,10.3603333333333,9.65236666666667,0.708,590.234666666667,54.0879666666667,93.4963333333333
"144",15,0.1,2.916,1.05,27,666,"H15_V0.1_L2.916_F1.05_fla27",91.9099,24.6329333333333,25.0500333333333,10.6412333333333,9.9333,0.708,601.674366666667,55.6594,100.007033333333
"145",15,0.1,2.916,1.15,27,666,"H15_V0.1_L2.916_F1.15_fla27",102.0485,26.7501333333333,24.1155333333333,11.0948333333333,10.3869,0.708,615.857266666667,58.2169,111.033633333333
"146",15,0.1,2.916,1.25,27,666,"H15_V0.1_L2.916_F1.25_fla27",108.289933333333,28.0841666666667,23.6195666666667,11.3499,10.6419333333333,0.708,621.879733333333,59.6864,118.038366666667
"147",15,0.1,2.916,1.35,27,666,"H15_V0.1_L2.916_F1.35_fla27",111.0706,28.7299,23.5025666666667,11.4556,10.7476333333333,0.708,624.694533333333,60.3102333333333,121.290833333333
"148",15,0.1,2.916,1.5,27,666,"H15_V0.1_L2.916_F1.5_fla27",111.763433333333,28.9963,23.2342666666667,11.4807,10.7727333333333,0.708,627.172866666667,60.4596,122.011933333333
"149",15,0.1,2.916,1.6,27,666,"H15_V0.1_L2.916_F1.6_fla27",111.768766666667,29.0122,23.1873,11.4809333333333,10.773,0.708,628.053833333333,60.4606,121.969066666667
"150",15,0.1,2.916,1.75,27,666,"H15_V0.1_L2.916_F1.75_fla27",111.722533333333,29.0532,23.1071666666667,11.4797666666667,10.7718333333333,0.708,628.794533333333,60.4537,121.8973
"151",15,0.1,2.916,1.85,27,666,"H15_V0.1_L2.916_F1.85_fla27",111.742866666667,29.0346,23.1422666666667,11.4802,10.7722666666667,0.708,629.182366666667,60.4563666666667,121.8964
"152",15,0.1,2.916,1.99,27,666,"H15_V0.1_L2.916_F1.99_fla27",111.738633333333,29.0385666666667,23.1345,11.4801,10.7721,0.708,629.231766666667,60.4556666666667,121.890666666667
"153",15,0.1,4.556,0.01,27,1013,"H15_V0.1_L4.556_F0.01_fla27",26.9520333333333,11.2458,31.4890666666667,5.5951,4.88713333333333,0.708,424.939,33.9879666666667,33.8790666666667
"154",15,0.1,4.556,0.15,27,1013,"H15_V0.1_L4.556_F0.15_fla27",30.0243333333333,11.9440333333333,31.4284333333333,5.9944,5.28643333333333,0.708,451.6222,36.3209333333333,36.4335333333333
"155",15,0.1,4.556,0.25,27,1013,"H15_V0.1_L4.556_F0.25_fla27",32.4618333333333,12.4628666666667,31.3200666666667,6.3086,5.6006,0.708,466.580166666667,38.1559,38.6484666666667
"156",15,0.1,4.556,0.4,27,1013,"H15_V0.1_L4.556_F0.4_fla27",36.2362666666667,13.3586666666667,30.2836333333333,6.76,6.05203333333333,0.708,486.1116,40.7661,41.7885666666667
"157",15,0.1,4.556,0.5,27,1013,"H15_V0.1_L4.556_F0.5_fla27",39.0668,14.0799666666667,29.2140666666667,7.0585,6.3506,0.708,506.886233333333,42.4849666666667,43.7500333333333
"158",15,0.1,4.556,0.65,27,1013,"H15_V0.1_L4.556_F0.65_fla27",45.0796333333333,15.3217333333333,28.7950333333333,7.62883333333333,6.9209,0.708,548.275066666667,45.8465666666667,48.8718333333333
"159",15,0.1,4.556,0.75,27,1013,"H15_V0.1_L4.556_F0.75_fla27",51.5138333333333,16.6865666666667,28.2671,8.1636,7.4557,0.708,587.873366666667,49.0430666666667,54.5614
"160",15,0.1,4.556,0.85,27,1013,"H15_V0.1_L4.556_F0.85_fla27",60.8345,18.6568666666667,26.7456,8.8367,8.12876666666667,0.708,638.480366666667,53.1087,62.6044333333333
"161",15,0.1,4.556,0.95,27,1013,"H15_V0.1_L4.556_F0.95_fla27",73.1696666666667,21.2221666666667,25.6658333333333,9.60433333333333,8.89636666666667,0.708,694.288033333333,57.8625,74.3089
"162",15,0.1,4.556,1,27,1013,"H15_V0.1_L4.556_F1_fla27",80.3548,22.7174666666667,24.9930666666667,10.0062,9.29826666666667,0.708,719.549166666667,60.3982666666667,81.4273333333333
"163",15,0.1,4.556,1.05,27,1013,"H15_V0.1_L4.556_F1.05_fla27",87.3863,24.1856666666667,24.4181666666667,10.3782333333333,9.67026666666667,0.708,739.2385,62.7765,88.6777
"164",15,0.1,4.556,1.15,27,1013,"H15_V0.1_L4.556_F1.15_fla27",99.6834,26.7770333333333,23.3919666666667,10.9781,10.2702,0.708,763.840833333333,66.6853,101.818466666667
"165",15,0.1,4.556,1.25,27,1013,"H15_V0.1_L4.556_F1.25_fla27",107.4103,28.4184333333333,22.7949666666667,11.3154,10.6074666666667,0.708,773.6478,68.9402,110.3793
"166",15,0.1,4.556,1.35,27,1013,"H15_V0.1_L4.556_F1.35_fla27",110.632033333333,29.1797,22.6111,11.4426666666667,10.7347666666667,0.708,778.877666666667,69.8169333333333,114.046
"167",15,0.1,4.556,1.5,27,1013,"H15_V0.1_L4.556_F1.5_fla27",111.347633333333,29.4312,22.3813,11.4694,10.7614,0.708,785.306933333333,70.0033333333333,114.6158
"168",15,0.1,4.556,1.6,27,1013,"H15_V0.1_L4.556_F1.6_fla27",111.341933333333,29.4936666666667,22.2354333333333,11.4694666666667,10.7615,0.708,789.058666666667,70.0031,114.433733333333
"169",15,0.1,4.556,1.75,27,1013,"H15_V0.1_L4.556_F1.75_fla27",111.302266666667,29.5552666666667,22.1149333333333,11.4683333333333,10.7604,0.708,793.0783,69.9956333333333,114.223866666667
"170",15,0.1,4.556,1.85,27,1013,"H15_V0.1_L4.556_F1.85_fla27",111.287666666667,29.5803333333333,22.0661333333333,11.4679333333333,10.76,0.708,794.2722,69.993,114.159633333333
"171",15,0.1,4.556,1.99,27,1013,"H15_V0.1_L4.556_F1.99_fla27",111.282933333333,29.5889,22.0492666666667,11.4678,10.7598333333333,0.708,794.9754,69.9920666666667,114.124733333333
"172",15,0.1,5.402,0.01,27,1201,"H15_V0.1_L5.402_F0.01_fla27",26.1820666666667,10.9618666666667,32.7256666666667,5.46416666666667,4.75623333333333,0.708,429.429066666667,33.0707666666667,33.4181333333333
"173",15,0.1,5.402,0.15,27,1201,"H15_V0.1_L5.402_F0.15_fla27",29.2972666666667,11.7840666666667,31.8601333333333,5.89083333333333,5.1829,0.708,448.2402,35.5652666666667,35.9913333333333
"174",15,0.1,5.402,0.25,27,1201,"H15_V0.1_L5.402_F0.25_fla27",31.5099333333333,12.2610333333333,31.6202,6.1703,5.46233333333333,0.708,465.837833333333,37.2069,37.7364333333333
"175",15,0.1,5.402,0.4,27,1201,"H15_V0.1_L5.402_F0.4_fla27",35.4995666666667,13.1812666666667,30.8908,6.64796666666667,5.94003333333333,0.708,495.8285,40.0109333333333,40.8453333333333
"176",15,0.1,5.402,0.5,27,1201,"H15_V0.1_L5.402_F0.5_fla27",38.4454666666667,13.8573333333333,30.3218666666667,6.98596666666667,6.27803333333333,0.708,514.3431,41.9997666666667,43.2812
"177",15,0.1,5.402,0.65,27,1201,"H15_V0.1_L5.402_F0.65_fla27",44.6048333333333,15.3156666666667,28.7161,7.5994,6.8914,0.708,555.810066666667,45.6272666666667,48.0417333333333
"178",15,0.1,5.402,0.75,27,1201,"H15_V0.1_L5.402_F0.75_fla27",50.7337666666667,16.6339,28.0790666666667,8.1174,7.40946666666667,0.708,595.505033333333,48.7452333333333,53.3120333333333
"179",15,0.1,5.402,0.85,27,1201,"H15_V0.1_L5.402_F0.85_fla27",59.4843333333333,18.4960333333333,27.0371666666667,8.7692,8.06126666666667,0.708,644.7162,52.7129666666667,61.0563
"180",15,0.1,5.402,0.95,27,1201,"H15_V0.1_L5.402_F0.95_fla27",71.5169,20.9980333333333,25.6447333333333,9.52933333333333,8.82136666666667,0.708,701.793666666667,57.4187333333333,72.1323666666667
"181",15,0.1,5.402,1,27,1201,"H15_V0.1_L5.402_F1_fla27",78.49,22.4744666666667,25.0443,9.92286666666667,9.2149,0.708,729.146133333333,59.9015666666667,78.9805
"182",15,0.1,5.402,1.05,27,1201,"H15_V0.1_L5.402_F1.05_fla27",85.4362666666667,23.9107666666667,24.4653666666667,10.2957333333333,9.5878,0.708,750.9542,62.2724,86.0111
"183",15,0.1,5.402,1.15,27,1201,"H15_V0.1_L5.402_F1.15_fla27",98.1373666666667,26.5635666666667,23.3517333333333,10.9178333333333,10.2099,0.708,778.8147,66.2996666666667,99.4039666666667
"184",15,0.1,5.402,1.25,27,1201,"H15_V0.1_L5.402_F1.25_fla27",106.410833333333,28.3614666666667,22.6437333333333,11.2785666666667,10.5706333333333,0.708,791.8363,68.6953666666667,108.469
"185",15,0.1,5.402,1.35,27,1201,"H15_V0.1_L5.402_F1.35_fla27",110.060333333333,29.1722666666667,22.4222,11.4221333333333,10.7142333333333,0.708,797.739333333333,69.6747,112.5437
"186",15,0.1,5.402,1.5,27,1201,"H15_V0.1_L5.402_F1.5_fla27",111.286733333333,29.4863333333333,22.2562666666667,11.4675,10.7595666666667,0.708,801.989766666667,69.9901666666667,113.8097
"187",15,0.1,5.402,1.6,27,1201,"H15_V0.1_L5.402_F1.6_fla27",111.323833333333,29.5176,22.1861333333333,11.4688666666667,10.7609,0.708,803.0255,69.9992,113.795033333333
"188",15,0.1,5.402,1.75,27,1201,"H15_V0.1_L5.402_F1.75_fla27",111.320833333333,29.5232666666667,22.1745,11.4687666666667,10.7608,0.708,802.880366666667,69.9985,113.799066666667
