Program:    MAESPA                                                                          
Water balance parameters:Example water balance parameters.                      
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      1     11      390.7727       196.5427         0.0000         0.0000         0.0000         0.0000         0.0000         1.2228         0.0000         0.0030         0.0000         0.0000         1.9978         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -645.5248       830.0387      1486.0859       713.5927        11.9423         9.1161         9.8758         9.8758         0.2167         0.1949         4.2029
      1     12      390.7697       196.5397         0.0000         0.0000         0.0000         0.0000         0.0000         1.2941         0.0000         0.0030         0.0000         0.0000         1.9978         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -655.9865       864.4938      1528.0398       742.5397        11.9423         9.6553        10.6129        10.6129         0.2165         0.1950         4.0587
      1     13      390.7667       196.5367         0.0000         0.0000         0.0000         0.0000         0.0000         1.3040         0.0000         0.0030         0.0000         0.0000         1.9978         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -612.9376       850.4918      1478.5114       731.6488        11.9423        10.1003        11.1931        11.1931         0.2164         0.1951         4.0305
      1     14      390.7637       196.5336         0.0000         0.0000         0.0000         0.0000         0.0000         1.2620         0.0000         0.0030         0.0000         0.0000         1.9978         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -538.9991       811.4905      1374.7749       699.7798        11.9423        10.3990        11.6157        11.6157         0.2163         0.1952         4.0288
      1     15      390.7607       196.5306         0.0000         0.0000         0.0000         0.0000         0.0000         1.1439         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -411.9406       719.8866      1181.6678       627.3719        11.9423        10.4982        11.7530        11.7530         0.2162         0.1952         4.2353
      1     16      390.7576       196.5276         0.0000         0.0000         0.0000         0.0000         0.0000         1.0272         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -315.6194       627.3082      1011.0862       554.5713        11.9423        10.5000        11.5940        11.5940         0.2161         0.1953         4.7142
      1     17      390.7546       196.5245         0.0000         0.0000         0.0000         0.0000         0.0000         0.7568         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       -77.5692       508.5925       687.4422       464.4279        11.9423        10.2365        11.3242        11.3242         0.2160         0.1954         5.0703
      1     18      390.7516       196.5215         0.0000         0.0000         0.0000         0.0000         0.0000         0.4028         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       203.9692       426.2272       372.0295       407.4506        11.9423         9.7440        10.8646        10.8646         0.2159         0.1954         4.2746
      1     19      390.7485       196.5185         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       358.0606       365.0396       155.8508       346.2631        11.9423         9.2091        10.3776        10.3776         0.2158         0.1955         0.0000
      1     20      390.7455       196.5155         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       337.1828       344.1430       154.4056       325.3664        11.9423         8.7691         9.9132         9.9132         0.2157         0.1956         0.0000
      1     21      390.7425       196.5124         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       335.0830       342.0455       152.7706       323.2690        11.9423         8.4448         9.5089         9.5089         0.2156         0.1956         0.0000
      1     22      390.7394       196.5094         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       333.5999       340.5409       151.6023       321.7643        11.9423         8.1525         9.1809         9.1809         0.2155         0.1957         0.0000
      1     23      390.7364       196.5064         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       332.0076       338.9617       151.2538       320.1851        11.9423         7.8358         8.9078         8.9078         0.2154         0.1958         0.0000
      1     24      390.7334       196.5033         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       330.5982       337.5533       150.9980       318.7767        11.9423         7.5553         8.6743         8.6743         0.2153         0.1958         0.0000
