Program:    MAESPA                                                                          
Water balance parameters:Example water balance parameters.                      
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      1     12      390.8402       196.6102         0.0000         0.0006         0.0089         0.0000         0.0000         0.0001         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       776.3190       864.4938         0.1935       750.8236         0.0012         9.6553        10.6129        10.6129         0.2178         0.1945         0.0005
      1     13      390.8372       196.6071         0.0000         0.0000         0.0006         0.0000         0.0000         0.0002         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       764.5174       850.4918         0.1905       739.8558         0.0012        10.1003        11.1931        11.1931         0.2177         0.1946         0.0005
      1     14      390.8341       196.6041         0.0000         0.0000         0.0000         0.0000         0.0000         0.0002         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       732.6301       811.4905         0.1810       707.9681         0.0012        10.3990        11.6157        11.6157         0.2176         0.1946         0.0006
      1     15      390.8311       196.6011         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       656.7170       719.8866         0.1565       634.5762         0.0012        10.4982        11.7530        11.7530         0.2175         0.1947         0.0006
      1     16      390.8281       196.5981         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       582.5209       627.3082         0.1295       560.4305         0.0012        10.5000        11.5940        11.5940         0.2173         0.1948         0.0006
      1     17      390.8251       196.5950         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       487.5769       508.5925         0.0906       467.8161         0.0012        10.2365        11.3242        11.3242         0.2172         0.1949         0.0007
      1     18      390.8220       196.5920         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       417.9123       426.2272         0.0468       408.8427         0.0012         9.7440        10.8646        10.8646         0.2171         0.1950         0.0006
      1     19      390.8190       196.5890         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       356.7452       365.0396         0.0157       347.6551         0.0012         9.2091        10.3776        10.3776         0.2170         0.1950         0.0000
      1     20      390.8160       196.5859         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       335.8629       344.1430         0.0156       326.7585         0.0012         8.7691         9.9132         9.9132         0.2169         0.1951         0.0000
      1     21      390.8129       196.5829         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       333.7639       342.0455         0.0153       324.6610         0.0012         8.4448         9.5089         9.5089         0.2168         0.1952         0.0000
      1     22      390.8099       196.5799         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       332.2755       340.5409         0.0152       323.1564         0.0012         8.1525         9.1809         9.1809         0.2167         0.1953         0.0000
      1     23      390.8069       196.5769         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       330.6864       338.9617         0.0152       321.5771         0.0012         7.8358         8.9078         8.9078         0.2166         0.1953         0.0000
      1     24      390.8039       196.5738         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       329.2773       337.5533         0.0152       320.1688         0.0012         7.5553         8.6743         8.6743         0.2165         0.1954         0.0000
