Program:    MAESPA                                                                          
Water balance parameters:Example water balance parameters.                      
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      1     11      390.8203       196.5902         0.0000         0.0000         0.0000         0.0000         0.0000         1.1154         0.0000         0.0030         0.0000         0.0000         1.9987         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -921.7950       830.0387      1678.2817       720.7425         7.3750         9.1161         9.8758         9.8758         0.2173         0.1947         5.2591
      1     12      390.8172       196.5872         0.0000         0.0000         0.0000         0.0000         0.0000         1.1845         0.0000         0.0030         0.0000         0.0000         1.9987         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -954.2646       864.4938      1740.6779       749.5874         7.3750         9.6553        10.6129        10.6129         0.2172         0.1948         5.1271
      1     13      390.8142       196.5842         0.0000         0.0000         0.0000         0.0000         0.0000         1.2081         0.0000         0.0030         0.0000         0.0000         1.9987         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -934.8815       850.4918      1714.6473       738.6823         7.3750        10.1003        11.1931        11.1931         0.2171         0.1949         5.2053
      1     14      390.8112       196.5811         0.0000         0.0000         0.0000         0.0000         0.0000         1.1946         0.0000         0.0030         0.0000         0.0000         1.9987         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -883.2276       811.4905      1632.5792       706.8790         7.3750        10.3990        11.6157        11.6157         0.2170         0.1949         5.3662
      1     15      390.8081       196.5781         0.0000         0.0000         0.0000         0.0000         0.0000         1.1011         0.0000         0.0030         0.0000         0.0000         1.9987         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -730.4640       719.8866      1414.9835       633.7408         7.3750        10.4982        11.7530        11.7530         0.2169         0.1950         5.7549
      1     16      390.8051       196.5751         0.0000         0.0000         0.0000         0.0000         0.0000         0.9856         0.0000         0.0030         0.0000         0.0000         1.9987         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -563.1942       627.3082      1172.8599       559.7766         7.3750        10.5000        11.5940        11.5940         0.2168         0.1951         6.2527
      1     17      390.8021       196.5720         0.0000         0.0000         0.0000         0.0000         0.0000         0.7742         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -285.6565       508.5925       809.8278       467.4328         7.3750        10.2365        11.3242        11.3242         0.2167         0.1952         7.1683
      1     18      390.7990       196.5690         0.0000         0.0000         0.0000         0.0000         0.0000         0.4367         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       122.6528       426.2272       375.4453       408.7314         7.3750         9.7440        10.8646        10.8646         0.2166         0.1952         6.1390
      1     19      390.7960       196.5660         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       356.3163       365.0396        80.0875       347.5439         7.3750         9.2091        10.3776        10.3776         0.2165         0.1953         0.0000
      1     20      390.7930       196.5629         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       335.4332       344.1430        79.1463       326.6473         7.3750         8.7691         9.9132         9.9132         0.2164         0.1954         0.0000
      1     21      390.7899       196.5599         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       333.3342       342.0455        78.0786       324.5498         7.3750         8.4448         9.5089         9.5089         0.2163         0.1955         0.0000
      1     22      390.7869       196.5569         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       331.8454       340.5409        77.2985       323.0452         7.3750         8.1525         9.1809         9.1809         0.2162         0.1955         0.0000
      1     23      390.7839       196.5539         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       330.2565       338.9617        77.1307       321.4659         7.3750         7.8358         8.9078         8.9078         0.2161         0.1956         0.0000
      1     24      390.7809       196.5508         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9986         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       328.8475       337.5533        77.0056       320.0576         7.3750         7.5553         8.6743         8.6743         0.2160         0.1957         0.0000
