"","H","V","L","F","Tree","name","absPAR","absNIR","absTherm","totPs","netPs","totRf","totLE1","totLE2","totH"
"12",15,0,0.466,1.15,105,"H15_V0_L0.466_F1.15",161.4059,43.0919,42.177,18.8866,17.6379,1.2486,2433.7083,14.9085,112.7861
"13",15,0,0.466,1.25,105,"H15_V0_L0.466_F1.25",162.0685,43.2676,42.109,18.9189,17.6703,1.2486,2438.4067,14.9341,113.3867
"14",15,0,0.466,1.35,105,"H15_V0_L0.466_F1.35",162.0281,43.2932,42.052,18.9175,17.6689,1.2486,2438.7495,14.933,113.3333
"15",15,0,0.466,1.5,105,"H15_V0_L0.466_F1.5",161.9622,43.3328,41.9615,18.915,17.6664,1.2486,2439.4211,14.931,113.2401
"16",15,0,0.466,1.6,105,"H15_V0_L0.466_F1.6",161.9375,43.3505,41.92,18.914,17.6654,1.2486,2439.5952,14.9302,113.2081
"17",15,0,0.466,1.75,105,"H15_V0_L0.466_F1.75",161.9424,43.3452,41.9312,18.9141,17.6654,1.2486,2439.9966,14.9303,113.1946
"18",15,0,0.466,1.85,105,"H15_V0_L0.466_F1.85",161.8786,43.3891,41.8325,18.9119,17.6633,1.2486,2439.9167,14.9285,113.1373
"19",15,0,0.466,1.99,105,"H15_V0_L0.466_F1.99",161.9224,43.3621,41.8917,18.9133,17.6647,1.2486,2440.781,14.9296,113.1397
"20",15,0,1.488,0.01,313,"H15_V0_L1.488_F0.01",82.2157,27.168,50.4327,13.8254,12.5768,1.2486,1578.3983,34.708,61.4152
"21",15,0,1.488,0.15,313,"H15_V0_L1.488_F0.15",82.8501,27.2908,49.8735,13.9184,12.6698,1.2486,1580.2484,34.9165,61.7045
