Program:    MAESPA                                                                          
Water balance parameters:Tumbarumba example water balance                       
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      1     11     2877.0027      1376.8770         0.0981         0.0205         0.0377         0.0000         0.0687         0.9623         0.0000         0.0036         0.0000        -0.0110         2.9622         0.0010         0.0228         0.3994         1.0000       462.4303       -15.7792      -465.1753        18.5253      -163.3320       830.0387       948.1701       385.2343         6.6077         9.1161         5.8421         8.3828         0.3863         0.3912         2.7736
      1     12     2876.0151      1375.8779         0.1014         0.0185         0.0324         0.0000         0.0710         1.0275         0.0000         0.0036         0.0000        -0.0110         2.9617         0.0010         0.0272         0.3991         1.0000       475.8871       -18.7515      -472.9248        15.7914      -169.7047       864.4938       984.0629       411.9728         6.6077         9.6553         6.3394         8.5972         0.3830         0.3883         2.7094
      1     13     2875.0220      1374.8671         0.1474         0.0249         0.0378         0.0000         0.1032         1.0610         0.0000         0.0036         0.0000        -0.0111         2.9611         0.0010         0.0321         0.3988         1.0000       477.9649       -22.1601      -469.4013        13.6000      -162.8243       850.4918       967.4920       398.6961         6.6077        10.1003         6.8323         8.8479         0.3796         0.3854         2.7455
      1     14     2874.0383      1373.8641         0.1666         0.0299         0.0450         0.0000         0.1166         1.0607         0.0000         0.0036         0.0000        -0.0112         2.9604         0.0010         0.0355         0.3985         1.0000       469.5119       -24.5289      -457.6324        12.6516      -146.9226       811.4905       920.3545       364.9798         6.6077        10.3990         7.2011         9.0708         0.3763         0.3824         2.8246
      1     15     2873.1350      1372.9385         0.1901         0.0384         0.0486         0.0000         0.1331         0.9934         0.0000         0.0036         0.0000        -0.0112         2.9598         0.0010         0.0395         0.3982         1.0000       424.9526       -27.2406      -409.4090        11.6981       -88.2728       719.8866       791.7992       291.0735         6.6077        10.4982         7.5436         9.2799         0.3732         0.3797         2.9927
      1     16     2872.3955      1372.1669         0.2707         0.0618         0.0578         0.0000         0.1895         0.8806         0.0000         0.0036         0.0000        -0.0113         2.9593         0.0010         0.0450         0.3980         1.0000       357.8682       -31.0083      -337.2445        10.3854        -1.2578       627.3082       633.0480       216.9013         6.6077        10.5000         7.9202         9.4996         0.3706         0.3773         3.0962
      1     17     2871.8030      1371.5535         0.1759         0.0677         0.0469         0.0000         0.1231         0.6610         0.0000         0.0036         0.0000        -0.0113         2.9588         0.0010         0.0513         0.3977         1.0000       252.9548       -35.3639      -226.5266         8.9393       131.2898       508.5925       413.4174       125.4733         6.6077        10.2365         8.3264         9.7359         0.3683         0.3756         3.2419
      1     18     2871.4902      1371.2211         0.1726         0.0878         0.0316         0.0000         0.1208         0.3747         0.0000         0.0036         0.0000        -0.0113         2.9585         0.0010         0.0546         0.3976         1.0000       144.3309       -37.6536      -115.4768         8.8039       263.3601       426.2272       233.1181        67.6512         6.6077         9.7440         8.5779         9.9190         0.3667         0.3746         3.1611
      1     19     2871.5325      1371.2452         0.1490         0.1186         0.0139         0.0000         0.1043         0.0000         0.0000         0.0036         0.0000        -0.0113         2.9585         0.0010         0.0591         0.3975         1.0000        65.7530       -40.7414       -34.4296         9.4191       359.2787       365.0396        76.6460         5.9799         6.6077         9.2091         8.6782        10.0273         0.3661         0.3747         0.0000
      1     20     2871.5947      1371.2872         0.1732         0.1525         0.0181         0.0000         0.1212         0.0000         0.0000         0.0036         0.0000        -0.0113         2.9585         0.0010         0.0550         0.3975         1.0000        73.7557       -37.9097       -49.8094        13.9647       338.4036       344.1430        76.9456       -12.5526         6.6077         8.7691         8.1868         9.8751         0.3657         0.3749         0.0000
      1     21     2871.6562      1371.3290         0.1682         0.1810         0.0219         0.0000         0.1178         0.0000         0.0000         0.0036         0.0000        -0.0113         2.9585         0.0010         0.0527         0.3975         1.0000        71.5669       -36.3431       -50.2131        14.9909       336.3040       342.0455        76.2162       -13.2691         6.6077         8.4448         7.8985         9.7111         0.3653         0.3750         0.0000
      1     22     2871.7261      1371.3784         0.1792         0.2094         0.0254         0.0000         0.1254         0.0000         0.0000         0.0036         0.0000        -0.0113         2.9585         0.0010         0.0511         0.3975         1.0000        69.5810       -35.2593       -50.1541        15.8340       334.8233       340.5409        75.7889       -13.4561         6.6077         8.1525         7.6226         9.5325         0.3650         0.3751         0.0000
      1     23     2871.7656      1371.4022         0.1299         0.2207         0.0276         0.0000         0.0909         0.0000         0.0000         0.0036         0.0000        -0.0113         2.9585         0.0010         0.0486         0.3975         1.0000        67.0267       -33.5143       -50.1497        16.6392       333.2292       338.9617        75.4497       -13.6761         6.6077         7.8358         7.3372         9.3409         0.3646         0.3752         0.0000
      1     24     2871.7974      1371.4204         0.1178         0.2276         0.0285         0.0000         0.0825         0.0000         0.0000         0.0036         0.0000        -0.0113         2.9585         0.0010         0.0465         0.3975         1.0000        65.0424       -32.1112       -50.1008        17.1708       331.8198       337.5533        75.0625       -13.8375         6.6077         7.5553         7.0745         9.1517         0.3641         0.3753         0.0000
