Program:    MAESPA                                                                          
Water balance parameters:Example water balance parameters.                      
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      1     11      390.8175       196.5874         0.0000         0.0000         0.0000         0.0000         0.0000         0.7572         0.0000         0.0030         0.0000         0.0000         1.9988         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -205.0656       830.0387       995.9331       711.7863         6.6077         9.1161         9.8758         9.8758         0.2170         0.1950         2.9101
      1     12      390.8145       196.5844         0.0000         0.0000         0.0000         0.0000         0.0000         0.8088         0.0000         0.0030         0.0000         0.0000         1.9988         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -213.7189       864.4938      1034.4846       740.8582         6.6077         9.6553        10.6129        10.6129         0.2169         0.1951         2.8449
      1     13      390.8114       196.5814         0.0000         0.0000         0.0000         0.0000         0.0000         0.8300         0.0000         0.0030         0.0000         0.0000         1.9988         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -206.3969       850.4918      1017.7397       729.9042         6.6077        10.1003        11.1931        11.1931         0.2168         0.1952         2.8841
      1     14      390.8084       196.5784         0.0000         0.0000         0.0000         0.0000         0.0000         0.8235         0.0000         0.0030         0.0000         0.0000         1.9988         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -187.1705       811.4905       967.2025       697.9321         6.6077        10.3990        11.6157        11.6157         0.2167         0.1953         2.9632
      1     15      390.8054       196.5753         0.0000         0.0000         0.0000         0.0000         0.0000         0.7619         0.0000         0.0030         0.0000         0.0000         1.9988         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -126.5213       719.8866       836.4446       625.6230         6.6077        10.4982        11.7530        11.7530         0.2166         0.1953         3.1568
      1     16      390.8023       196.5723         0.0000         0.0000         0.0000         0.0000         0.0000         0.6824         0.0000         0.0030         0.0000         0.0000         1.9988         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       -56.0638       627.3082       693.3342       553.2067         6.6077        10.5000        11.5940        11.5940         0.2165         0.1954         3.4039
      1     17      390.7993       196.5693         0.0000         0.0000         0.0000         0.0000         0.0000         0.5330         0.0000         0.0030         0.0000         0.0000         1.9988         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000        65.6068       508.5925       483.5890       463.6688         6.6077        10.2365        11.3242        11.3242         0.2164         0.1955         3.8656
      1     18      390.7963       196.5662         0.0000         0.0000         0.0000         0.0000         0.0000         0.2924         0.0000         0.0030         0.0000         0.0000         1.9988         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       254.2671       426.2272       246.0239       407.0193         6.6077         9.7440        10.8646        10.8646         0.2163         0.1955         3.3554
      1     19      390.7932       196.5632         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9988         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       359.2398       365.0396        79.2063       345.8318         6.6077         9.2091        10.3776        10.3776         0.2161         0.1956         0.0000
      1     20      390.7902       196.5602         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9988         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       338.3645       344.1430        78.5125       324.9352         6.6077         8.7691         9.9132         9.9132         0.2160         0.1957         0.0000
      1     21      390.7872       196.5571         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9988         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       336.2648       342.0455        77.9181       322.8377         6.6077         8.4448         9.5089         9.5089         0.2159         0.1958         0.0000
      1     22      390.7841       196.5541         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9988         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       334.7840       340.5409        77.4105       321.3331         6.6077         8.1525         9.1809         9.1809         0.2158         0.1958         0.0000
      1     23      390.7811       196.5511         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9988         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       333.1901       338.9617        77.0733       319.7538         6.6077         7.8358         8.9078         8.9078         0.2157         0.1959         0.0000
      1     24      390.7781       196.5481         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9988         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       331.7807       337.5533        76.7723       318.3455         6.6077         7.5553         8.6743         8.6743         0.2156         0.1960         0.0000
