Program:    MAESPA                                                                          
Water balance parameters:Example water balance parameters. WD4                  
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      1     11      395.3574       221.2503         2.8417         0.6733         0.8397         0.3647         2.0697         0.7571         0.0000         0.0013         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -205.0613       830.0387       995.9243       711.8253         6.6077         9.1161         9.8758         9.8758         0.3547         0.3013         2.9101
      1     12      397.3597       223.2529         2.8417         0.6272         0.8841         0.2986         2.0036         0.8088         0.0000         0.0013         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -213.7167       864.4938      1034.4769       740.8970         6.6077         9.6553        10.6129        10.6129         0.3533         0.3184         2.8449
      1     13      399.3337       225.2272         2.8417         0.6139         0.8796         0.2703         1.9753         0.8300         0.0000         0.0013         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -206.3929       850.4918      1017.7316       729.9429         6.6077        10.1003        11.1931        11.1931         0.3524         0.3313         2.8841
      1     14      401.3131       227.2069         2.8417         0.6325         0.8423         0.2757         1.9807         0.8235         0.0000         0.0013         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -187.1663       811.4905       967.1941       697.9705         6.6077        10.3990        11.6157        11.6157         0.3519         0.3400         2.9633
      1     15      403.3507       229.2447         2.8417         0.7047         0.7306         0.3339         2.0389         0.7619         0.0000         0.0013         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -126.5187       719.8866       836.4370       625.6562         6.6077        10.4982        11.7530        11.7530         0.3523         0.3453         3.1568
      1     16      405.5039       231.3982         2.8417         0.7858         0.6060         0.4495         2.1545         0.6824         0.0000         0.0013         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       -56.0700       627.3082       693.3278       553.2323         6.6077        10.5000        11.5940        11.5940         0.3536         0.3486         3.4039
      1     17      407.8349       233.7294         2.8417         0.8745         0.4207         0.6273         2.3323         0.5330         0.0000         0.0013         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000        65.5904       508.5925       483.5854       463.6830         6.6077        10.2365        11.3242        11.3242         0.3561         0.3510         3.8656
      1     18      410.3884       236.2832         2.8417         0.9487         0.2126         0.8498         2.5548         0.2924         0.0000         0.0013         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       254.2600       426.2272       246.0224       407.0262         6.6077         9.7440        10.8646        10.8646         0.3595         0.3536         3.3554
      1     19      413.1184       239.0135         2.8417         0.9897         0.0693         1.0264         2.7314         0.0000         0.0000         0.0013         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       359.2309       365.0396        79.2065       345.8387         6.6077         9.2091        10.3776        10.3776         0.3628         0.3567         0.0000
      1     20      415.8896       241.7850         2.8417         0.9908         0.0680         1.0675         2.7725         0.0000         0.0000         0.0013         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       338.3557       344.1430        78.5126       324.9420         6.6077         8.7691         9.9132         9.9132         0.3647         0.3601         0.0000
      1     21      418.6626       244.5581         2.8417         0.9912         0.0671         1.0692         2.7742         0.0000         0.0000         0.0013         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       336.2560       342.0455        77.9183       322.8445         6.6077         8.4448         9.5089         9.5089         0.3656         0.3627         0.0000
      1     22      421.4365       247.3323         2.8417         0.9914         0.0662         1.0702         2.7752         0.0000         0.0000         0.0013         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       334.7752       340.5409        77.4106       321.3399         6.6077         8.1525         9.1809         9.1809         0.3661         0.3642         0.0000
      1     23      424.2111       250.1072         2.8417         0.9916         0.0655         1.0710         2.7760         0.0000         0.0000         0.0013         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       333.1813       338.9617        77.0734       319.7607         6.6077         7.8358         8.9078         8.9078         0.3665         0.3649         0.0000
      1     24      426.9864       252.8828         2.8417         0.9918         0.0648         1.0716         2.7766         0.0000         0.0000         0.0013         0.0000         0.0000         2.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       331.7719       337.5533        76.7725       318.3523         6.6077         7.5553         8.6743         8.6743         0.3668         0.3653         0.0000
