Program:    MAESPA                                                                          
Water balance parameters:Example water balance parameters.                      
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      1     11      390.7822       196.5521         0.0000         0.0000         0.0000         0.0000         0.0000         1.8852         0.0000         0.0030         0.0000         0.0000         1.9978         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000     -1893.9949       830.0387      2669.2344       716.9641        11.9416         9.1161         9.8758         9.8758         0.2167         0.1950         8.2944
      1     12      390.7791       196.5491         0.0000         0.0000         0.0000         0.0000         0.0000         1.9954         0.0000         0.0030         0.0000         0.0000         1.9978         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000     -1960.5747       864.4938      2766.0486       745.8425        11.9416         9.6553        10.6129        10.6129         0.2166         0.1951         8.0806
      1     13      390.7761       196.5461         0.0000         0.0000         0.0000         0.0000         0.0000         2.0218         0.0000         0.0030         0.0000         0.0000         1.9978         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000     -1922.6344       850.4918      2723.7600       734.9620        11.9416        10.1003        11.1931        11.1931         0.2165         0.1952         8.2024
      1     14      390.7731       196.5430         0.0000         0.0000         0.0000         0.0000         0.0000         1.9857         0.0000         0.0030         0.0000         0.0000         1.9978         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000     -1825.1226       811.4905      2596.4050       703.1408        11.9416        10.3990        11.6157        11.6157         0.2163         0.1952         8.4653
      1     15      390.7701       196.5400         0.0000         0.0000         0.0000         0.0000         0.0000         1.8050         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000     -1539.5593       719.8866      2251.2793       630.4128        11.9416        10.4982        11.7530        11.7530         0.2162         0.1953         9.0820
      1     16      390.7670       196.5370         0.0000         0.0000         0.0000         0.0000         0.0000         1.5909         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000     -1234.5508       627.3082      1871.7979       557.0432        11.9416        10.5000        11.5940        11.5940         0.2161         0.1954         9.8914
      1     17      390.7640       196.5340         0.0000         0.0000         0.0000         0.0000         0.0000         1.2165         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -738.6027       508.5925      1295.5568       465.8260        11.9416        10.2365        11.3242        11.3242         0.2160         0.1954        11.3548
      1     18      390.7610       196.5309         0.0000         0.0000         0.0000         0.0000         0.0000         0.6613         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       -45.4790       426.2272       596.6250       408.0848        11.9416         9.7440        10.8646        10.8646         0.2159         0.1955         9.6199
      1     19      390.7579       196.5279         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       357.0224       365.0396       132.0279       346.8972        11.9416         9.2091        10.3776        10.3776         0.2158         0.1956         0.0000
      1     20      390.7549       196.5249         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       336.1417       344.1430       130.5740       326.0006        11.9416         8.7691         9.9132         9.9132         0.2157         0.1957         0.0000
      1     21      390.7519       196.5219         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       334.0424       342.0455       129.0190       323.9031        11.9416         8.4448         9.5089         9.5089         0.2156         0.1957         0.0000
      1     22      390.7488       196.5188         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       332.5557       340.5409       127.8452       322.3985        11.9416         8.1525         9.1809         9.1809         0.2155         0.1958         0.0000
      1     23      390.7458       196.5158         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       330.9653       338.9617       127.4853       320.8193        11.9416         7.8358         8.9078         8.9078         0.2154         0.1959         0.0000
      1     24      390.7428       196.5128         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9977         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       329.5563       337.5533       127.1923       319.4109        11.9416         7.5553         8.6743         8.6743         0.2153         0.1959         0.0000
