Program:    MAESPA                                                                          
Water balance parameters:Example water balance parameters.                      
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      1     12      390.8153       196.5853         0.0000         0.0000         0.0000         0.0000         0.0000         0.6873         0.0000         0.0030         0.0000         0.0000         1.9988         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000        23.6992       864.4938       807.2756       744.6384         6.6521         9.6553        10.6129        10.6129         0.2171         0.1949         2.1337
      1     13      390.8123       196.5823         0.0000         0.0000         0.0000         0.0000         0.0000         0.7029         0.0000         0.0030         0.0000         0.0000         1.9988         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000        33.1382       850.4918       788.9178       733.6730         6.6521        10.1003        11.1931        11.1931         0.2170         0.1949         2.1425
      1     14      390.8093       196.5792         0.0000         0.0000         0.0000         0.0000         0.0000         0.6924         0.0000         0.0030         0.0000         0.0000         1.9988         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000        45.8392       811.4905       745.4383       701.7072         6.6521        10.3990        11.6157        11.6157         0.2169         0.1950         2.1813
      1     15      390.8062       196.5762         0.0000         0.0000         0.0000         0.0000         0.0000         0.6358         0.0000         0.0030         0.0000         0.0000         1.9988         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000        77.9430       719.8866       642.7230       628.9191         6.6521        10.4982        11.7530        11.7530         0.2168         0.1951         2.2998
      1     16      390.8032       196.5732         0.0000         0.0000         0.0000         0.0000         0.0000         0.5596         0.0000         0.0030         0.0000         0.0000         1.9988         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       118.5891       627.3082       528.0187       555.7662         6.6521        10.5000        11.5940        11.5940         0.2167         0.1952         2.4360
      1     17      390.8002       196.5702         0.0000         0.0000         0.0000         0.0000         0.0000         0.4101         0.0000         0.0030         0.0000         0.0000         1.9988         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       202.1576       508.5925       355.0326       465.0998         6.6521        10.2365        11.3242        11.3242         0.2166         0.1953         2.5672
      1     18      390.7971       196.5671         0.0000         0.0000         0.0000         0.0000         0.0000         0.2250         0.0000         0.0030         0.0000         0.0000         1.9988         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       302.6032       426.2272       204.2517       407.7014         6.6521         9.7440        10.8646        10.8646         0.2165         0.1953         2.3216
      1     19      390.7941       196.5641         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9988         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       358.3074       365.0396        86.8656       346.5138         6.6521         9.2091        10.3776        10.3776         0.2164         0.1954         0.0000
      1     20      390.7911       196.5611         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9988         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       337.4294       344.1430        86.0509       325.6172         6.6521         8.7691         9.9132         9.9132         0.2163         0.1955         0.0000
      1     21      390.7881       196.5580         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9988         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       335.3300       342.0455        85.1148       323.5197         6.6521         8.4448         9.5089         9.5089         0.2162         0.1955         0.0000
      1     22      390.7850       196.5550         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9988         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       333.8464       340.5409        84.4520       322.0151         6.6521         8.1525         9.1809         9.1809         0.2161         0.1956         0.0000
      1     23      390.7820       196.5520         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9988         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       332.2542       338.9617        84.2702       320.4359         6.6521         7.8358         8.9078         8.9078         0.2160         0.1957         0.0000
      1     24      390.7790       196.5490         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9988         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       330.8451       337.5533        84.1409       319.0275         6.6521         7.5553         8.6743         8.6743         0.2159         0.1958         0.0000
