Program:    MAESPA                                                                          
Water balance parameters:Example water balance parameters.                      
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      1     12      390.8258       196.5958         0.0000         0.0000         0.0000         0.0000         0.0000         0.4486         0.0000         0.0030         0.0000         0.0000         1.9991         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       348.2873       864.4938       476.4095       748.4343         4.8573         9.6553        10.6129        10.6129         0.2172         0.1950         1.1986
      1     13      390.8228       196.5927         0.0000         0.0000         0.0000         0.0000         0.0000         0.4610         0.0000         0.0030         0.0000         0.0000         1.9991         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       350.2223       850.4918       464.8328       737.4084         4.8573        10.1003        11.1931        11.1931         0.2170         0.1950         1.1983
      1     14      390.8197       196.5897         0.0000         0.0000         0.0000         0.0000         0.0000         0.4282         0.0000         0.0030         0.0000         0.0000         1.9991         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       387.5467       811.4905       396.5859       705.3826         4.8573        10.3990        11.6157        11.6157         0.2169         0.1951         1.0702
      1     15      390.8167       196.5867         0.0000         0.0000         0.0000         0.0000         0.0000         0.4248         0.0000         0.0030         0.0000         0.0000         1.9991         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       323.5229       719.8866       387.8331       632.0776         4.8573        10.4982        11.7530        11.7530         0.2168         0.1952         1.3108
      1     16      390.8137       196.5836         0.0000         0.0000         0.0000         0.0000         0.0000         0.3376         0.0000         0.0030         0.0000         0.0000         1.9991         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       358.7016       627.3082       277.8651       558.2870         4.8573        10.5000        11.5940        11.5940         0.2167         0.1953         1.1473
      1     17      390.8106       196.5806         0.0000         0.0000         0.0000         0.0000         0.0000         0.2440         0.0000         0.0030         0.0000         0.0000         1.9991         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       348.1759       508.5925       196.4556       466.5130         4.8573        10.2365        11.3242        11.3242         0.2166         0.1953         1.2299
      1     18      390.8076       196.5776         0.0000         0.0000         0.0000         0.0000         0.0000         0.1306         0.0000         0.0030         0.0000         0.0000         1.9991         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       357.6472       426.2272       129.1877       408.2923         4.8573         9.7440        10.8646        10.8646         0.2165         0.1954         1.1943
      1     19      390.8046       196.5746         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9991         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       357.9985       365.0396        67.3607       347.1048         4.8573         9.2091        10.3776        10.3776         0.2164         0.1955         0.0000
      1     20      390.8016       196.5715         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9991         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       337.1189       344.1430        66.7133       326.2082         4.8573         8.7691         9.9132         9.9132         0.2163         0.1956         0.0000
      1     21      390.7985       196.5685         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9991         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       335.0197       342.0455        65.8743       324.1107         4.8573         8.4448         9.5089         9.5089         0.2162         0.1956         0.0000
      1     22      390.7955       196.5655         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9991         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       333.5346       340.5409        65.3218       322.6060         4.8573         8.1525         9.1809         9.1809         0.2161         0.1957         0.0000
      1     23      390.7925       196.5624         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9991         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       331.9435       338.9617        65.2610       321.0268         4.8573         7.8358         8.9078         8.9078         0.2160         0.1958         0.0000
      1     24      390.7895       196.5594         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         1.9991         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       330.5343       337.5533        65.2460       319.6185         4.8573         7.5553         8.6743         8.6743         0.2159         0.1958         0.0000
