Program:    MAESPA                                                                          
Water balance parameters:Example water balance parameters.                      
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      0      0      388.4601      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000
      1      1      388.4570       194.2270         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       344.3148       336.3755       204.8773       336.3755        14.8798         7.3168         8.4827         8.4827         0.1942         0.1942         0.0000
      1      2      388.4540       194.2240         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       343.2650       335.3319       204.9650       335.3319        14.8798         7.1056         8.2984         8.2984         0.1942         0.1942         0.0000
      1      3      388.4510       194.2209         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       342.2128       334.2916       206.0931       334.2916        14.8798         6.8929         8.1480         8.1480         0.1941         0.1942         0.0000
      1      4      388.4479       194.2179         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       341.4312       333.5106       206.0463       333.5106        14.8798         6.7355         8.0077         8.0077         0.1941         0.1942         0.0000
      1      5      390.6253       196.3953         3.2107         0.8919         0.1384         0.2540         2.1804         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       340.6815       332.7639       206.0285       332.7639        14.8798         6.5790         7.8687         7.8687         0.2159         0.1942         0.0000
      1      6      390.7625       196.5325         0.0000         0.1309         0.6208         0.1402         0.1402         0.0000         0.0000         0.0030         0.0000         0.0000         0.0000         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       353.6560       345.7291       204.7227       345.7291        14.8798         6.4899         7.7463         7.7463         0.2172         0.1943         0.0000
      1      7      390.7595       196.5295         0.0000         0.0113         0.1196         0.0000         0.0000         0.3500         0.0000         0.0030         0.0000         0.0000         1.9973         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000       174.5983       402.3554       417.0219       386.4299        14.8798         6.6359         7.6979         7.6979         0.2171         0.1944         4.8769
      1      8      390.7565       196.5264         0.0000         0.0005         0.0109         0.0000         0.0000         0.6692         0.0000         0.0030         0.0000         0.0000         1.9973         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -106.4643       508.3166       756.8514       467.1836        14.8798         7.0751         7.8396         7.8396         0.2170         0.1945         5.0663
      1      9      390.7534       196.5234         0.0000         0.0000         0.0004         0.0000         0.0000         0.9881         0.0000         0.0030         0.0000         0.0000         1.9973         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -454.8927       636.8689      1174.3483       565.7487        14.8798         7.7190         8.2171         8.2171         0.2169         0.1945         5.1356
      1     10      390.7504       196.5204         0.0000         0.0000         0.0000         0.0000         0.0000         1.2113         0.0000         0.0030         0.0000         0.0000         1.9973         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -636.3035       753.3649      1433.6611       657.9958        14.8798         8.4408         8.8662         8.8662         0.2167         0.1946         4.7016
      1     11      390.7474       196.5173         0.0000         0.0000         0.0000         0.0000         0.0000         1.4179         0.0000         0.0030         0.0000         0.0000         1.9973         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -798.4990       830.0387      1664.7930       720.5155        14.8798         9.1161         9.8758         9.8758         0.2166         0.1947         4.6949
      1     12      390.7444       196.5143         0.0000         0.0000         0.0000         0.0000         0.0000         1.5138         0.0000         0.0030         0.0000         0.0000         1.9972         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -832.5474       864.4938      1733.7874       749.2515        14.8798         9.6553        10.6129        10.6129         0.2165         0.1948         4.5907
      1     13      390.7413       196.5113         0.0000         0.0000         0.0000         0.0000         0.0000         1.6009         0.0000         0.0030         0.0000         0.0000         1.9972         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -897.9965       850.4918      1797.1034       738.4188        14.8798        10.1003        11.1931        11.1931         0.2164         0.1948         4.9250
      1     14      390.7383       196.5083         0.0000         0.0000         0.0000         0.0000         0.0000         1.5670         0.0000         0.0030         0.0000         0.0000         1.9972         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -829.2813       811.4905      1701.4609       706.7310        14.8798        10.3990        11.6157        11.6157         0.2163         0.1949         5.0187
      1     15      390.7353       196.5052         0.0000         0.0000         0.0000         0.0000         0.0000         1.3779         0.0000         0.0030         0.0000         0.0000         1.9972         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -602.5565       719.8866      1412.9705       633.8434        14.8798        10.4982        11.7530        11.7530         0.2162         0.1950         5.0493
      1     16      390.7322       196.5022         0.0000         0.0000         0.0000         0.0000         0.0000         1.1730         0.0000         0.0030         0.0000         0.0000         1.9972         0.0100        -0.0000         0.3040         1.0000         0.0000         0.0000         0.0000         0.0000      -400.3839       627.3082      1132.4045       559.9377        14.8798        10.5000        11.5940        11.5940         0.2161         0.1951         5.1808
