H,V,L,F,fla,Tree,name,absPAR,absNIR,absTherm,totPs,netPs,totRf,totLE1,totLE2,totH
15,0,1.521,1,27,351,H15_V0_L1.521_F1_fla27,99.2375,25.8839,24.8762,10.9766,10.2686,0.708,835.0638,29.9508,97.9613
15,0,1.521,1,27,352,H15_V0_L1.521_F1_fla27,99.2375,25.8839,24.8762,10.9766,10.2686,0.708,835.0612,29.9508,97.9614
15,0,1.521,1,27,353,H15_V0_L1.521_F1_fla27,99.2375,25.8839,24.8762,10.9766,10.2686,0.708,834.9957,29.9508,97.9643
15,0,1.521,1,27,354,H15_V0_L1.521_F1_fla27,99.2375,25.8839,24.8762,10.9766,10.2686,0.708,834.771,29.9508,97.9744
15,0,1.521,1,27,375,H15_V0_L1.521_F1_fla27,99.2375,25.8839,24.8762,10.9766,10.2686,0.708,834.4537,29.9508,97.9885
15,0,1.521,1,27,376,H15_V0_L1.521_F1_fla27,99.2375,25.8839,24.8762,10.9766,10.2686,0.708,834.6761,29.9508,97.9786
15,0,1.521,1,27,377,H15_V0_L1.521_F1_fla27,99.2375,25.8839,24.8762,10.9766,10.2686,0.708,834.7188,29.9508,97.9767
15,0,1.521,1,27,378,H15_V0_L1.521_F1_fla27,99.2375,25.8839,24.8762,10.9766,10.2686,0.708,834.7162,29.9508,97.9768
15,0,1.521,1,27,379,H15_V0_L1.521_F1_fla27,99.2375,25.8839,24.8762,10.9766,10.2686,0.708,834.6724,29.9508,97.9788
15,0,1.521,1,27,380,H15_V0_L1.521_F1_fla27,99.2375,25.8839,24.8762,10.9766,10.2686,0.708,834.4482,29.9508,97.9888
15,0,1.521,1,27,401,H15_V0_L1.521_F1_fla27,99.2375,25.8839,24.8762,10.9766,10.2686,0.708,834.5249,29.9508,97.9853
15,0,1.521,1,27,402,H15_V0_L1.521_F1_fla27,99.2375,25.8839,24.8762,10.9766,10.2686,0.708,834.7473,29.9508,97.9754
15,0,1.521,1,27,403,H15_V0_L1.521_F1_fla27,99.2375,25.8839,24.8762,10.9766,10.2686,0.708,834.9247,29.9508,97.9675
15,0,1.521,1,27,404,H15_V0_L1.521_F1_fla27,99.2375,25.8839,24.8762,10.9766,10.2686,0.708,834.9253,29.9508,97.9675
15,0,1.521,1,27,405,H15_V0_L1.521_F1_fla27,99.2375,25.8839,24.8762,10.9766,10.2686,0.708,834.7466,29.9508,97.9755
15,0,1.521,1,27,406,H15_V0_L1.521_F1_fla27,99.2375,25.8839,24.8762,10.9765,10.2686,0.708,834.5225,29.9508,97.9855
15,0,2.916,1,27,519,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.373,53.9291,93.7446
15,0,2.916,1,27,520,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.4515,53.9291,93.7411
15,0,2.916,1,27,521,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.4811,53.9291,93.7398
15,0,2.916,1,27,522,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.4595,53.9291,93.7408
15,0,2.916,1,27,523,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.4592,53.9291,93.7408
15,0,2.916,1,27,524,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.4808,53.9291,93.7398
15,0,2.916,1,27,525,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.4514,53.9291,93.7411
15,0,2.916,1,27,526,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.3727,53.9291,93.7446
15,0,2.916,1,27,555,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.4584,53.9291,93.7408
15,0,2.916,1,27,556,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.5373,53.9291,93.7373
15,0,2.916,1,27,557,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.567,53.9291,93.736
15,0,2.916,1,27,558,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.5453,53.9291,93.737
15,0,2.916,1,27,559,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.545,53.9291,93.737
15,0,2.916,1,27,560,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.5668,53.9291,93.736
15,0,2.916,1,27,561,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.5372,53.9291,93.7373
15,0,2.916,1,27,562,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.4583,53.9291,93.7408
15,0,2.916,1,27,591,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.5195,53.9291,93.7381
15,0,2.916,1,27,592,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.5984,53.9291,93.7346
15,0,2.916,1,27,593,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.6282,53.9291,93.7332
15,0,2.916,1,27,594,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.6064,53.9291,93.7342
15,0,2.916,1,27,595,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.6063,53.9291,93.7342
15,0,2.916,1,27,596,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.628,53.9291,93.7332
15,0,2.916,1,27,597,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.5984,53.9291,93.7346
15,0,2.916,1,27,598,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.5193,53.9291,93.7381
15,0,2.916,1,27,627,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.5142,53.9291,93.7383
15,0,2.916,1,27,628,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.5931,53.9291,93.7348
15,0,2.916,1,27,629,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.6229,53.9291,93.7335
15,0,2.916,1,27,630,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.6011,53.9291,93.7345
15,0,2.916,1,27,631,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.601,53.9291,93.7345
15,0,2.916,1,27,632,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.6227,53.9291,93.7335
15,0,2.916,1,27,633,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.593,53.9291,93.7348
15,0,2.916,1,27,634,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.514,53.9291,93.7383
15,0,2.916,1,27,663,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.4283,53.9291,93.7422
15,0,2.916,1,27,664,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.507,53.9291,93.7387
15,0,2.916,1,27,665,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.5367,53.9291,93.7374
15,0,2.916,1,27,666,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.5149,53.9291,93.7383
15,0,2.916,1,27,667,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.5147,53.9291,93.7383
15,0,2.916,1,27,668,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.5366,53.9291,93.7374
15,0,2.916,1,27,669,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.507,53.9291,93.7387
15,0,2.916,1,27,670,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.4282,53.9291,93.7422
15,0,2.916,1,27,699,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.3519,53.9291,93.7456
15,0,2.916,1,27,700,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.4306,53.9291,93.7421
15,0,2.916,1,27,701,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.4598,53.9291,93.7407
15,0,2.916,1,27,702,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.4367,53.9291,93.7418
15,0,2.916,1,27,703,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.4364,53.9291,93.7418
15,0,2.916,1,27,704,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.4597,53.9291,93.7408
15,0,2.916,1,27,705,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.4305,53.9291,93.7421
15,0,2.916,1,27,706,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.3518,53.9291,93.7456
15,0,2.916,1,27,735,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.331,53.9291,93.7465
15,0,2.916,1,27,736,H15_V0_L2.916_F1_fla27,86.3781,23.4131,25.6217,10.3197,9.6117,0.708,598.4095,53.9291,93.743
