"","H","V","L","F","fla","Tree","name","absPAR","absNIR","absTherm","totPs","netPs","totRf","totLE1","totLE2","totH"
"26",15,0.1,2.916,0.5,0.5,666,"H15_V0.1_L2.916_F0.5_fla0.5",1.21463333333333,0.341133333333333,0.5226,0.1729,0.1598,0.0131,8.85436666666667,0.906,1.3839
"27",15,0.1,2.916,0.5,1,666,"H15_V0.1_L2.916_F0.5_fla1",2.41726666666667,0.679766666666667,1.04513333333333,0.345066666666667,0.318833333333333,0.0262,17.6941666666667,1.80766666666667,2.75393333333333
"28",15,0.1,2.916,0.5,10,666,"H15_V0.1_L2.916_F0.5_fla10",21.8846,6.52963333333333,10.0762333333333,3.29443333333333,3.03223333333333,0.2622,173.552233333333,17.2082666666667,24.9739666666667
"29",15,0.1,2.916,0.5,20,666,"H15_V0.1_L2.916_F0.5_fla20",39.7434333333333,12.3023333333333,21.4766333333333,6.27686666666667,5.75243333333333,0.5244,341.875133333333,32.6740333333333,46.2964666666667
"30",15,0.1,2.916,0.5,40,666,"H15_V0.1_L2.916_F0.5_fla40",66.0962333333333,22.4105666666667,43.5444666666667,11.3325333333333,10.2837333333333,1.0488,659.4331,58.5735,78.7744
"31",15,0.1,2.916,0.65,0.1,666,"H15_V0.1_L2.916_F0.65_fla0.1",0.267633333333333,0.0728666666666667,0.101366666666667,0.0359333333333333,0.0333333333333333,0.0026,1.87146666666667,0.188133333333333,0.299466666666667
"32",15,0.1,2.916,0.65,0.5,666,"H15_V0.1_L2.916_F0.65_fla0.5",1.3328,0.3633,0.507933333333333,0.1794,0.166266666666667,0.0131,9.35313333333333,0.9388,1.49173333333333
"33",15,0.1,2.916,0.65,1,666,"H15_V0.1_L2.916_F0.65_fla1",2.65206666666667,0.724033333333333,1.01743333333333,0.358033333333333,0.3318,0.0262,18.6933333333333,1.8733,2.969
"34",15,0.1,2.916,0.65,10,666,"H15_V0.1_L2.916_F0.65_fla10",24.0381333333333,6.91306666666667,9.7153,3.42683333333333,3.16463333333333,0.2622,183.644233333333,17.8870333333333,26.8018333333333
"35",15,0.1,2.916,0.65,20,666,"H15_V0.1_L2.916_F0.65_fla20",43.6029,13.0371333333333,21.0587333333333,6.53796666666667,6.01353333333333,0.5244,361.121233333333,34.0236,49.7317
"36",15,0.1,2.916,0.65,40,666,"H15_V0.1_L2.916_F0.65_fla40",72.5342,23.5976666666667,42.7029666666667,11.8469,10.7981,1.0488,695.816966666667,61.2119333333333,84.146
"37",15,0.1,2.916,0.75,0.1,666,"H15_V0.1_L2.916_F0.75_fla0.1",0.2947,0.0786666666666667,0.0914333333333333,0.0373333333333333,0.0347,0.0026,1.9768,0.195133333333333,0.3213
"38",15,0.1,2.916,0.75,0.5,666,"H15_V0.1_L2.916_F0.75_fla0.5",1.46673333333333,0.391533333333333,0.4527,0.1863,0.173133333333333,0.0131,9.87196666666667,0.973666666666667,1.5956
"39",15,0.1,2.916,0.75,1,666,"H15_V0.1_L2.916_F0.75_fla1",2.92576666666667,0.779133333333333,0.9555,0.372133333333333,0.345933333333333,0.0262,19.7568,1.94526666666667,3.2102
"40",15,0.1,2.916,0.75,10,666,"H15_V0.1_L2.916_F0.75_fla10",26.576,7.3963,9.79486666666667,3.573,3.3108,0.2622,194.196333333333,18.6487333333333,29.3875666666667
"41",15,0.1,2.916,0.75,20,666,"H15_V0.1_L2.916_F0.75_fla20",48.0694666666667,13.9515333333333,20.4698,6.82236666666667,6.29796666666667,0.5244,381.428166666667,35.5123333333333,53.8182666666667
"42",15,0.1,2.916,0.75,40,666,"H15_V0.1_L2.916_F0.75_fla40",79.7744333333333,25.1400666666667,42.0799333333333,12.3958,11.3469666666667,1.0488,734.7578,64.0842333333333,90.7942333333333
"43",15,0.1,2.916,0.85,0.1,666,"H15_V0.1_L2.916_F0.85_fla0.1",0.3383,0.0869666666666667,0.0891,0.0393333333333333,0.0367,0.0026,2.1153,0.205333333333333,0.365333333333333
"44",15,0.1,2.916,0.85,0.5,666,"H15_V0.1_L2.916_F0.85_fla0.5",1.68376666666667,0.4333,0.4417,0.196266666666667,0.183166666666667,0.0131,10.5675666666667,1.02486666666667,1.8152
"45",15,0.1,2.916,0.85,1,666,"H15_V0.1_L2.916_F0.85_fla1",3.3484,0.8637,0.881033333333333,0.3917,0.3655,0.0262,21.1119666666667,2.04546666666667,3.60826666666667
"46",15,0.1,2.916,0.85,10,666,"H15_V0.1_L2.916_F0.85_fla10",30.4149,8.16013333333333,9.57056666666667,3.7723,3.5101,0.2622,207.408666666667,19.6956666666667,33.2458
"47",15,0.1,2.916,0.85,20,666,"H15_V0.1_L2.916_F0.85_fla20",54.85,15.3565,18.9427333333333,7.21726666666667,6.69286666666667,0.5244,407.0299,37.5958333333333,59.8717
"48",15,0.1,2.916,0.85,40,666,"H15_V0.1_L2.916_F0.85_fla40",90.8621,27.4309,41.4163666666667,13.1823333333333,12.1335333333333,1.0488,783.452366666667,68.2624666666667,101.5566
"49",15,0.1,2.916,0.95,0.1,666,"H15_V0.1_L2.916_F0.95_fla0.1",0.393266666666667,0.0982,0.0864333333333333,0.0414666666666667,0.0388666666666667,0.0026,2.24073333333333,0.216333333333333,0.424166666666667
"50",15,0.1,2.916,0.95,0.5,666,"H15_V0.1_L2.916_F0.95_fla0.5",1.95713333333333,0.489566666666667,0.431533333333333,0.207066666666667,0.193966666666667,0.0131,11.1961666666667,1.08006666666667,2.1103
"51",15,0.1,2.916,0.95,1,666,"H15_V0.1_L2.916_F0.95_fla1",3.89243333333333,0.9756,0.864833333333333,0.4134,0.387166666666667,0.0262,22.3767333333333,2.15646666666667,4.19736666666667
"52",15,0.1,2.916,0.95,10,666,"H15_V0.1_L2.916_F0.95_fla10",35.2291,9.11936666666667,8.5982,3.98886666666667,3.72666666666667,0.2622,220.340733333333,20.8384666666667,37.8074666666667
"53",15,0.1,2.916,0.95,20,666,"H15_V0.1_L2.916_F0.95_fla20",63.4979666666667,17.1098333333333,18.3321333333333,7.66293333333333,7.13853333333333,0.5244,431.7603,40.0002666666667,68.7643
"54",15,0.1,2.916,0.95,40,666,"H15_V0.1_L2.916_F0.95_fla40",104.737333333333,30.3495,39.6491,14.0774666666667,13.0286333333333,1.0488,830.613766666667,73.0767666666667,115.106633333333
"55",15,0.1,2.916,1,0.1,666,"H15_V0.1_L2.916_F1_fla0.1",0.424333333333333,0.104566666666667,0.0831,0.0425666666666667,0.0399,0.0026,2.29833333333333,0.221733333333333,0.456866666666667
"56",15,0.1,2.916,1,0.5,666,"H15_V0.1_L2.916_F1_fla0.5",2.11236666666667,0.521333333333333,0.418433333333333,0.212433333333333,0.199333333333333,0.0131,11.4849333333333,1.10733333333333,2.27593333333333
"57",15,0.1,2.916,1,1,666,"H15_V0.1_L2.916_F1_fla1",4.20133333333333,1.0385,0.8407,0.4241,0.3979,0.0262,22.9517666666667,2.2113,4.5279
"58",15,0.1,2.916,1,10,666,"H15_V0.1_L2.916_F1_fla10",38.0145333333333,9.71426666666667,8.74386666666667,4.1011,3.83886666666667,0.2622,226.0728,21.4424,41.0315666666667
"59",15,0.1,2.916,1,20,666,"H15_V0.1_L2.916_F1_fla20",68.4404333333333,18.1244666666667,18.3170666666667,7.89256666666667,7.36816666666667,0.5244,443.348733333333,41.2627333333333,74.1914666666667
"60",15,0.1,2.916,1,40,666,"H15_V0.1_L2.916_F1_fla40",112.627,31.9668666666667,39.0733666666667,14.5482,13.4994,1.0488,851.873933333333,75.6569,123.2802
"61",15,0.1,2.916,1.05,0.1,666,"H15_V0.1_L2.916_F1.05_fla0.1",0.454233333333333,0.110833333333333,0.0806333333333333,0.0434666666666667,0.0408333333333333,0.0026,2.34466666666667,0.226466666666667,0.489466666666667
"62",15,0.1,2.916,1.05,0.5,666,"H15_V0.1_L2.916_F1.05_fla0.5",2.26053333333333,0.552333333333333,0.402866666666667,0.2171,0.204,0.0131,11.7132666666667,1.1311,2.4352
"63",15,0.1,2.916,1.05,1,666,"H15_V0.1_L2.916_F1.05_fla1",4.49576666666667,1.10006666666667,0.8095,0.4335,0.4072,0.0262,23.4041,2.25913333333333,4.84416666666667
"64",15,0.1,2.916,1.05,10,666,"H15_V0.1_L2.916_F1.05_fla10",40.6524,10.2736333333333,8.5615,4.19966666666667,3.93743333333333,0.2622,230.1471,21.9735666666667,43.9353666666667
"65",15,0.1,2.916,1.05,20,666,"H15_V0.1_L2.916_F1.05_fla20",73.1316,19.1093666666667,18.0780333333333,8.09613333333333,7.57173333333333,0.5244,452.0486,42.3906666666667,79.3319
"66",15,0.1,2.916,1.05,40,666,"H15_V0.1_L2.916_F1.05_fla40",120.124033333333,33.5832,38.4614666666667,14.9762333333333,13.9274333333333,1.0488,867.801566666667,78.0302,131.3067
"67",15,0.1,2.916,1.15,0.1,666,"H15_V0.1_L2.916_F1.15_fla0.1",0.506833333333333,0.1213,0.0758666666666667,0.0449333333333333,0.0423333333333333,0.0026,2.40736666666667,0.2339,0.5466
"68",15,0.1,2.916,1.15,0.5,666,"H15_V0.1_L2.916_F1.15_fla0.5",2.5225,0.604366666666667,0.380666666666667,0.2245,0.211366666666667,0.0131,12.0264,1.1686,2.72043333333333
"69",15,0.1,2.916,1.15,1,666,"H15_V0.1_L2.916_F1.15_fla1",5.01626666666667,1.20313333333333,0.7634,0.448233333333333,0.422033333333333,0.0262,24.0268333333333,2.3347,5.4091
"70",15,0.1,2.916,1.15,10,666,"H15_V0.1_L2.916_F1.15_fla10",45.2391333333333,11.2364333333333,8.2174,4.3542,4.092,0.2622,235.699533333333,22.8145666666667,49.0234333333333
"71",15,0.1,2.916,1.15,20,666,"H15_V0.1_L2.916_F1.15_fla20",81.2272666666667,20.8625333333333,17.4232333333333,8.42093333333333,7.89653333333333,0.5244,463.041233333333,44.2133666666667,88.2972666666667
"72",15,0.1,2.916,1.15,40,666,"H15_V0.1_L2.916_F1.15_fla40",133.114066666667,36.3754666666667,37.5846333333333,15.6782333333333,14.6294333333333,1.0488,888.979766666667,81.9823,145.608966666667
"73",15,0.1,2.916,1.25,0.1,666,"H15_V0.1_L2.916_F1.25_fla0.1",0.537833333333333,0.128666666666667,0.0735,0.0457333333333333,0.0431,0.0026,2.43173333333333,0.237833333333333,0.582633333333333
"74",15,0.1,2.916,1.25,0.5,666,"H15_V0.1_L2.916_F1.25_fla0.5",2.67663333333333,0.6407,0.367266666666667,0.228333333333333,0.215233333333333,0.0131,12.1472,1.1882,2.8985
"75",15,0.1,2.916,1.25,1,666,"H15_V0.1_L2.916_F1.25_fla1",5.32233333333333,1.2752,0.734366666666667,0.456,0.4298,0.0262,24.2671,2.3743,5.76096666666667
"76",15,0.1,2.916,1.25,10,666,"H15_V0.1_L2.916_F1.25_fla10",48.0538666666667,11.8386666666667,8.05376666666667,4.4388,4.1766,0.2622,238.223233333333,23.2816666666667,52.2312
"77",15,0.1,2.916,1.25,20,666,"H15_V0.1_L2.916_F1.25_fla20",86.2172333333333,21.9586666666667,17.0141,8.6019,8.07746666666667,0.5244,467.922466666667,45.2482,93.9255333333333
"78",15,0.1,2.916,1.25,40,666,"H15_V0.1_L2.916_F1.25_fla40",141.179133333333,38.1012333333333,36.7431666666667,16.0832666666667,15.0344666666667,1.0488,897.1903,84.2951333333333,154.506966666667
"79",15,0.1,2.916,1.35,0.1,666,"H15_V0.1_L2.916_F1.35_fla0.1",0.551666666666667,0.132033333333333,0.0728,0.0460333333333333,0.0434,0.0026,2.44486666666667,0.239366666666667,0.598933333333333
