"","H","V","L","F","fla","Tree","name","absPAR","absNIR","absTherm","totPs","netPs","totRf","totLE1","totLE2","totH"
"36",15,0,1.521,1.75,0.1,351,"H15_V0_L1.521_F1.75_fla0.1",0.5578,0.1317,0.0748,0.0461,0.0435,0.0026,3.4275,0.1252,0.5617
"37",15,0,1.521,1.85,0.1,351,"H15_V0_L1.521_F1.85_fla0.1",0.5578,0.1317,0.0748,0.0461,0.0435,0.0026,3.4277,0.1252,0.5617
"38",15,0,1.521,1.99,0.1,351,"H15_V0_L1.521_F1.99_fla0.1",0.5578,0.1317,0.0748,0.0461,0.0435,0.0026,3.4354,0.1252,0.5614
"39",15,0,2.916,0.01,0.1,666,"H15_V0_L2.916_F0.01_fla0.1",0.2232,0.0642,0.1045,0.0332,0.0306,0.0026,1.6821,0.1743,0.2571
"40",15,0,2.916,0.15,0.1,666,"H15_V0_L2.916_F0.15_fla0.1",0.225,0.0651,0.1037,0.0334,0.0308,0.0026,1.6908,0.175,0.259
"41",15,0,2.916,0.25,0.1,666,"H15_V0_L2.916_F0.25_fla0.1",0.227,0.0655,0.1037,0.0335,0.0309,0.0026,1.6996,0.1758,0.261
"42",15,0,2.916,0.4,0.1,666,"H15_V0_L2.916_F0.4_fla0.1",0.2315,0.066,0.1044,0.0338,0.0312,0.0026,1.7072,0.1773,0.2659
"43",15,0,2.916,0.5,0.1,666,"H15_V0_L2.916_F0.5_fla0.1",0.2326,0.0661,0.1045,0.0339,0.0313,0.0026,1.7215,0.1777,0.2666
"44",15,0,2.916,0.65,0.1,666,"H15_V0_L2.916_F0.65_fla0.1",0.2492,0.0693,0.1031,0.0349,0.0323,0.0026,1.8166,0.1827,0.2811
"45",15,0,2.916,0.75,0.1,666,"H15_V0_L2.916_F0.75_fla0.1",0.2761,0.0744,0.0997,0.0363,0.0337,0.0026,1.938,0.1901,0.3053
"46",15,0,2.916,0.85,0.1,666,"H15_V0_L2.916_F0.85_fla0.1",0.3206,0.0832,0.0883,0.0384,0.0358,0.0026,2.0943,0.2009,0.3441
"47",15,0,2.916,0.95,0.1,666,"H15_V0_L2.916_F0.95_fla0.1",0.3896,0.0968,0.0855,0.0412,0.0386,0.0026,2.2634,0.215,0.4172
"48",15,0,2.916,1,0.1,666,"H15_V0_L2.916_F1_fla0.1",0.4261,0.1045,0.0835,0.0425,0.0398,0.0026,2.3299,0.2214,0.4574
"49",15,0,2.916,1.05,0.1,666,"H15_V0_L2.916_F1.05_fla0.1",0.4653,0.1126,0.0795,0.0437,0.0411,0.0026,2.3801,0.2276,0.4998
"50",15,0,2.916,1.15,0.1,666,"H15_V0_L2.916_F1.15_fla0.1",0.523,0.1245,0.076,0.0453,0.0427,0.0026,2.4179,0.2358,0.5655
"51",15,0,2.916,1.25,0.1,666,"H15_V0_L2.916_F1.25_fla0.1",0.5504,0.1314,0.0733,0.046,0.0434,0.0026,2.4364,0.2392,0.5976
"52",15,0,2.916,1.35,0.1,666,"H15_V0_L2.916_F1.35_fla0.1",0.5557,0.1329,0.0728,0.0461,0.0435,0.0026,2.4506,0.2398,0.6036
"53",15,0,2.916,1.5,0.1,666,"H15_V0_L2.916_F1.5_fla0.1",0.5553,0.1331,0.0724,0.0461,0.0435,0.0026,2.4598,0.2397,0.6028
"54",15,0,2.916,1.6,0.1,666,"H15_V0_L2.916_F1.6_fla0.1",0.5553,0.1331,0.0724,0.0461,0.0435,0.0026,2.4664,0.2397,0.6025
"55",15,0,2.916,1.75,0.1,666,"H15_V0_L2.916_F1.75_fla0.1",0.5553,0.1331,0.0724,0.0461,0.0435,0.0026,2.4709,0.2397,0.6023
"56",15,0,2.916,1.85,0.1,666,"H15_V0_L2.916_F1.85_fla0.1",0.5553,0.1331,0.0724,0.0461,0.0435,0.0026,2.472,0.2397,0.6023
"57",15,0,2.916,1.99,0.1,666,"H15_V0_L2.916_F1.99_fla0.1",0.5553,0.1331,0.0724,0.0461,0.0435,0.0026,2.4697,0.2397,0.6024
"58",15,0,4.556,0.01,0.1,1013,"H15_V0_L4.556_F0.01_fla0.1",0.1284,0.0455,0.1197,0.0244,0.0218,0.0026,1.6781,0.1498,0.154
"59",15,0,4.556,0.15,0.1,1013,"H15_V0_L4.556_F0.15_fla0.1",0.1422,0.0498,0.1025,0.0259,0.0233,0.0026,1.7665,0.1587,0.1576
"60",15,0,4.556,0.25,0.1,1013,"H15_V0_L4.556_F0.25_fla0.1",0.156,0.0518,0.1123,0.0274,0.0248,0.0026,1.8346,0.1674,0.1763
